54475.27	16.70	0.05
54476.33	16.22	0.09
54477.34	16.15	0.09
54478.34	16.05	0.09
54479.38	15.96	0.10
54480.34	15.86	0.10
54481.32	15.72	0.07
54482.26	15.55	0.00
54483.32	15.41	0.13
54484.35	15.31	0.05
54485.31	15.17	0.16
54486.35	15.12	0.05
54497.19	14.76	0.08
54499.26	14.73	0.03
54505.20	14.76	0.02
54508.24	14.86	0.01
54509.22	14.88	0.03
54510.25	14.89	0.06
#Tanaka
54477.3459	16.279	0.030
54478.391	16.258	0.019
54480.3476	15.971	0.023
54481.3819	15.807	0.023
54482.3688	15.685	0.021
54485.3557	15.337	0.020
54486.5211	15.212	0.017
54489.3517	15.063	0.019
54490.3191	14.978	0.019
54506.5407	14.946	0.021
54508.5283	14.960	0.021
54511.3597	15.039	0.028
54513.3308	15.074	0.022
54514.4452	15.129	0.014
54518.2822	15.223	0.018
54520.2407	15.280	0.041
54524.4425	15.400	0.014
54527.4172	15.476	0.023
54529.5153	15.567	0.023
54537.4104	15.735	0.023
54540.3917	15.844	0.023
54545.279	15.964	0.038
54551.3637	16.183	0.024
54556.3966	16.315	0.038
54559.3526	16.424	0.023
54563.3684	16.472	0.028
54569.3281	16.613	0.025
54573.2722	16.705	0.036
54574.3868	16.723	0.032
54577.2854	16.761	0.037
54579.293	16.819	0.038
