54475.41335	19.029	0.041
54475.41704	19.142	0.055
54476.44007	18.987	0.042
54476.44374	18.997	0.039
54477.26833	19.061	0.055
54477.46468	19.150	0.050
54477.46836	19.113	0.046
54478.30483	19.198	0.048
54478.30852	19.252	0.051
54478.48707	19.274	0.051
54478.49075	19.215	0.051
54480.39678	19.387	0.086
54480.40048	19.331	0.077
54481.51429	19.138	0.055
54481.51799	19.116	0.060
54482.44031	18.988	0.045
54482.44402	18.987	0.044
54482.44768	19.032	0.039
54482.45133	18.999	0.042
54483.28450	18.900	0.064
54483.28821	18.909	0.065
54484.37030	18.871	0.076
54484.37398	18.781	0.061
54494.47279	18.425	0.058
54494.47648	18.323	0.054
54495.37060	18.540	0.037
54495.37428	18.530	0.037
54496.34444	18.617	0.042
54496.34814	18.550	0.037
54497.40800	18.601	0.061
54498.31553	18.693	0.033
54498.31922	18.762	0.032
54499.35786	18.851	0.054
54499.36153	18.872	0.054
54502.44618	19.100	0.049
54502.44985	19.218	0.054
54503.35339	19.210	0.060
54503.35707	19.287	0.051
54504.37798	19.297	0.051
54504.38167	19.196	0.053
54505.42244	19.420	0.048
54505.42613	19.428	0.055
54509.28316	19.874	0.076
54509.28685	19.788	0.063
54510.16992	19.923	0.151
54510.17361	19.745	0.138
54520.26316	20.387	0.187
54524.28390	20.545	0.130
54531.14465	20.597	0.141
54536.16698	20.645	0.139
54537.15979	20.720	0.185
54539.12633	20.645	0.173
54539.13002	20.626	0.152
54558.11382	20.631	0.154
54569.13830	20.862	0.328
54572.17387	20.893	0.297
54579.13512	20.988	0.274
54615.15240	21.415	0.446
#M09
54475.41	19.08	0.03
54476.41	19.05	0.07
54476.43	18.98	0.03
54477.35	19.01	0.03
54477.36	19.11	0.02
54477.46	19.15	0.08
54478.34	19.09	0.03
54478.39	19.24	0.02
54478.44	19.22	0.09
54479.43	19.14	0.06
54480.39	19.34	0.06
54480.4	19.23	0.07
54481.43	18.95	0.11
54481.51	19.1	0.04
54482.39	18.88	0.11
54482.43	18.98	0.02
54483.27	18.89	0.05
54483.36	18.9	0.1
54484.36	18.69	0.07
54485.34	18.54	0.08
54489.41	18.76	0.05
54495.36	18.36	0.04
54496.34	18.52	0.03
54497.39	18.63	0.03
54498.3	18.63	0.05
54499.35	18.72	0.02
54501.42	18.92	0.07
54502.36	19.01	0.05
54502.44	18.93	0.04
54503.34	19.15	0.03
54503.38	19.13	0.06
54504.35	19.19	0.05
54504.37	19.25	0.04
54505.33	19.28	0.06
54507.32	19.52	0.08
54509.29	19.7	0.06
#Tanaka
54477.41	19.319	0.047
54478.4194	19.353	0.038
54480.3762	19.117	0.056
54481.4135	19.153	0.038
54482.3975	18.909	0.053
54485.3865	18.689	0.083
54486.5497	18.518	0.104
54489.401	18.500	0.064
54490.3682	18.537	0.040
54506.5894	19.505	0.047
54508.5866	19.763	0.044
54511.4088	19.993	0.053
54513.3799	20.140	0.054
54514.5476	20.273	0.081
54518.3309	20.382	0.082
54524.419	20.614	0.039
54526.2514	20.572	0.062
54527.2477	20.585	0.072
54529.4917	20.687	0.041
54534.259	20.681	0.038
54537.3869	20.781	0.044
54540.3682	20.755	0.077
54545.2558	21.033	0.138
54547.2561	20.908	0.076
54551.3402	21.060	0.060
54559.3286	21.216	0.066
54571.3269	21.347	0.108
54572.3053	21.482	0.093
54574.3577	21.528	0.124
