   68.02   0.787229   19.914 0.038  142 0.67 i'
   68.46   0.792317   19.904 0.040  142 0.69 i'
   69.20   0.800883   19.921 0.022  460 0.78 i'
   70.00   0.810153   19.904 0.021  460 0.76 i'
   70.85   0.820019   19.902 0.023  460 0.74 i'
   71.60   0.828663   19.899 0.020  460 0.57 i'
   72.38   0.837725   19.884 0.022  460 0.61 i'
   73.16   0.846806   19.860 0.023  460 0.64 i'
   73.96   0.856003   19.835 0.024  460 0.72 i'
   74.76   0.865263   19.788 0.024  460 0.72 i'
   75.56   0.874504   19.748 0.025  460 0.78 i'
   76.35   0.883669   19.654 0.019  460 0.73 i'
   77.14   0.892841   19.634 0.017  460 0.75 i'
   77.95   0.902235   19.578 0.022  460 0.80 i'
   78.75   0.911515   19.533 0.028  460 0.97 i'
   79.56   0.920794   19.460 0.029  460 0.89 i'
   80.36   0.930069   19.408 0.025  460 0.94 i'
   81.17   0.939427   19.414 0.036  460 0.98 i'
   81.95   0.948452   19.400 0.024  460 1.28 i'
  151.49   1.753348   19.360 0.030  460 0.81 i'
  155.91   1.804496   19.392 0.033  460 0.95 i'
  160.33   1.855649   19.360 0.021  460 1.10 i'
  164.70   1.906235   19.434 0.029  460 1.12 i'
  239.81   2.775588   20.105 0.024  919 0.85 i'
  250.95   2.904470   20.201 0.029  919 0.92 i'
  329.17   3.809864   20.432 0.031 1133 0.74 i'
  415.47   4.808631   20.811 0.022 1838 0.82 i'
  501.08   5.799551   20.902 0.019 1838 0.72 i'
  588.10   6.806728   21.181 0.038 1838 0.90 i'
  669.18   7.745094   21.396 0.089  919 1.12 i'
  843.66   9.764627   21.754 0.042 1379 0.63 i'
 1101.93  12.753818   22.198 0.067 2420 0.86 i'
 1880.55  21.765609   22.398 0.073 2952 1.14 i'
 2401.32  27.793085   22.627 0.105 4502 1.18 i'
 3090.97  35.775066   22.811 0.102 3630 1.17 i'
 4258.44  49.287547   23.262 0.233 5384 1.33 i'
 4732.20  54.770785   23.378 0.160 5422 1.14 i'
 6241.88  72.243982   23.678 0.320 2758 1.12 i'
24277.46 280.989129   24.364 0.218 3752 0.94 i'
   64.49   0.746440   19.716 0.053  142 0.81 z'
   64.93   0.751499   19.745 0.053  142 0.77 z'
   65.37   0.756632   19.759 0.065  142 0.71 z'
   65.82   0.761760   19.734 0.062  142 0.70 z'
   66.25   0.766805   19.717 0.051  142 0.63 z'
   66.69   0.771848   19.721 0.053  142 0.72 z'
   67.13   0.776936   19.767 0.059  142 0.71 z'
   67.58   0.782209   19.692 0.041  142 0.63 z'
   68.02   0.787229   19.723 0.048  142 0.65 z'
   68.46   0.792317   19.742 0.043  142 0.67 z'
   69.20   0.800883   19.675 0.023  460 0.68 z'
   70.00   0.810153   19.663 0.052  460 0.68 z'
   70.85   0.820019   19.670 0.044  460 0.67 z'
   71.60   0.828663   19.681 0.055  460 0.53 z'
   72.38   0.837725   19.642 0.053  460 0.58 z'
   73.16   0.846806   19.634 0.053  460 0.64 z'
   73.96   0.856003   19.537 0.043  460 0.69 z'
   74.76   0.865263   19.547 0.035  460 0.72 z'
   75.56   0.874504   19.534 0.063  460 0.75 z'
   76.35   0.883669   19.416 0.044  460 0.70 z'
   77.14   0.892841   19.395 0.036  460 0.73 z'
   77.95   0.902235   19.323 0.026  460 0.78 z'
   78.75   0.911515   19.277 0.041  460 0.95 z'
   79.56   0.920794   19.237 0.044  460 0.88 z'
   80.36   0.930069   19.166 0.024  460 0.92 z'
   81.17   0.939427   19.136 0.024  460 0.94 z'
   81.95   0.948452   19.098 0.037  460 1.27 z'
  151.49   1.753348   19.132 0.017  460 0.77 z'
  155.91   1.804496   19.128 0.020  460 0.92 z'
  160.33   1.855649   19.149 0.024  460 1.08 z'
  164.70   1.906235   19.189 0.043  460 1.10 z'
  239.81   2.775588   19.889 0.053  919 0.76 z'
  250.95   2.904470   19.950 0.067  919 0.87 z'
  329.17   3.809864   20.221 0.045 1133 0.72 z'
  415.47   4.808631   20.604 0.041 1838 0.79 z'
  501.08   5.799551   20.713 0.038 1838 0.72 z'
  588.10   6.806728   20.941 0.054 1838 0.87 z'
  669.18   7.745094   21.174 0.077  919 1.04 z'
  843.66   9.764627   21.569 0.064 1379 0.61 z'
 1101.93  12.753818   22.028 0.085 2420 0.82 z'
 1880.55  21.765609   22.298 0.088 2952 1.10 z'
 2401.32  27.793085   22.360 0.138 4502 1.10 z'
 3090.97  35.775066   22.459 0.118 3630 1.12 z'
 4258.44  49.287547   23.000 0.319 5384 1.33 z'
 4732.20  54.770785   23.147 0.214 5422 1.13 z'
 6241.88  72.243982   23.470 0.443 2758 1.06 z'
24277.46 280.989129   24.022 0.279 3752 0.90 z'
   64.52   0.746718   19.313 0.128  240 1.38  J
   64.96   0.751794   19.411 0.128  240 1.49  J
   65.40   0.756904   19.323 0.145  240 1.29  J
   65.84   0.762041   19.455 0.166  240 1.36  J
   66.28   0.767086   19.332 0.167  240 1.32  J
   66.71   0.772126   19.314 0.147  240 1.38  J
   67.15   0.777215   19.349 0.147  240 1.36  J
   67.61   0.782483   19.327 0.110  240 1.24  J
   68.04   0.787512   19.313 0.098  240 1.14  J
   68.48   0.792610   19.339 0.130  240 1.23  J
   69.22   0.801194   19.312 0.137  480 1.31  J
   70.02   0.810466   19.324 0.155  480 1.36  J
   70.82   0.819633   19.106 0.159  480 1.33  J
   71.62   0.828972   19.239 0.172  480 1.08  J
   72.41   0.838035   19.353 0.163  480 1.13  J
   73.19   0.847117   19.198 0.149  480 1.17  J
   73.99   0.856314   19.226 0.099  480 1.18  J
   74.79   0.865581   19.121 0.150  480 1.09  J
   75.58   0.874812   19.140 0.115  480 1.21  J
   76.38   0.883978   18.998 0.136  480 1.14  J
   77.17   0.893158   18.910 0.121  480 1.09  J
   77.98   0.902545   19.022 0.121  480 1.17  J
   78.78   0.911825   18.911 0.106  480 1.26  J
   79.58   0.921103   18.910 0.116  480 1.23  J
   80.38   0.930378   18.890 0.102  480 1.20  J
   81.19   0.939736   18.782 0.115  480 1.20  J
   81.97   0.948770   18.719 0.097  480 1.63  J
  151.52   1.753657   18.722 0.124  480 1.17  J
  155.94   1.804812   18.786 0.077  480 1.18  J
  160.36   1.855967   18.746 0.105  480 1.36  J
  164.73   1.906554   18.749 0.107  480 1.42  J
  239.84   2.775900   19.657 0.133  960 1.51  J
  250.97   2.904789   19.647 0.111  960 1.25  J
  329.20   3.810145   19.875 0.077 1920 1.06  J
  415.49   4.808939   20.173 0.112 1920 1.25  J
  501.11   5.799862   20.254 0.115 1920 1.19  J
  588.13   6.807036   20.625 0.157 1920 1.47  J
  669.20   7.745412   20.698 0.229  960 1.61  J
  843.69   9.764943   21.226 0.212 1440 1.27  J
