r 	29.15	RATIR	5200	20.52   0.06	
r 	29.19	P60	540	20.49   0.05	
r 	30.18	P60	540	20.54   0.06	
r 	30.19	RATIR	3120	20.63   0.06	
r 	31.15	RATIR	3920	20.62   0.15	
r 	32.15	RATIR	4960	20.73   0.06	
r 	34.16	P60	540	20.87   0.07	
r 	35.17	RATIR	3680	20.96   0.06	
r 	37.88	Liverpool	150	21.22   0.04	
r 	39.88	Liverpool	150	21.27   0.06	
r 	41.16	RATIR	3840	21.25   0.08	
r 	45.15	RATIR	2080	21.33   0.12	
r 	45.87	Liverpool	150	21.46   0.14	
r 	46.15	RATIR	3120	21.36   0.11	
r 	47.88	Liverpool	150	21.42   0.15	
r 	53.87	Liverpool	150	21.75   0.06	
r 	58.87	Liverpool	150	21.81   0.06	
r 	62.86	Liverpool	150	21.80   0.10	
R	330.48	Keck/LRIS	200	23.26   0.06	
r 	632.39	DCT	1200	23.15   0.04	
i 	1.17	P60	120	18.42   0.04	
i 	1.26	P60	120	18.56   0.06	
i 	2.16	RATIR	7600	19.09   0.07	
i 	2.21	P60	420	19.12   0.04	
i 	3.21	RATIR	5040	19.59   0.06	
i 	3.24	P60	450	19.64   0.05	
i 	4.17	P60	1320	19.97   0.06	
i 	4.21	RATIR	5360	19.93   0.06	
i 	5.21	RATIR	4960	20.05   0.12	
i 	5.26	P60	540	20.13   0.05	
i 	6.20	RATIR	4880	20.13   0.09	
i 	6.27	P60	660	20.09   0.05	
i 	7.18	P60	660	20.17   0.05	
i 	7.19	RATIR	3280	20.07   0.17	
i 	8.22	RATIR	3920	20.10   0.07	
i 	9.87	Liverpool	130	19.93   0.13	
i 	10.87	Liverpool	130	19.86   0.16	
i 	11.17	P60	180	19.88   0.11	
i 	11.87	Liverpool	130	19.87   0.15	
i 	12.19	P60	660	19.94   0.04	
i 	12.22	RATIR	2880	19.91   0.05	
i 	12.87	Liverpool	130	19.94   0.14	
i 	13.16	RATIR	1280	19.86   0.05	
i 	13.87	Liverpool	130	20.01   0.21	
i 	14.18	RATIR	3760	19.84   0.05	
i 	14.19	P60	660	19.86   0.06	
i 	15.16	RATIR	5280	19.83   0.05	
i 	15.19	P60	660	19.77   0.06	
i 	15.87	Liverpool	150	19.91   0.10	
i 	16.19	P60	660	20.02   0.10	
i 	17.87	Liverpool	150	19.94   0.07	
i 	19.87	Liverpool	150	19.88   0.05	
i 	21.87	Liverpool	150	19.97   0.04	
i 	23.87	Liverpool	150	20.09   0.05	
i 	25.17	RATIR	4560	20.04   0.06	
i 	26.15	RATIR	2160	20.09   0.05	
i  27.15	RATIR	5200	20.15   0.06	
i 	27.91	Liverpool	150	20.18   0.02	
i 	28.16	RATIR	5120	20.21   0.05	
i 	29.15	RATIR	5200	20.30   0.07	
i 	29.22	P60	540	20.31   0.06	
i 	30.19	RATIR	3120	20.41   0.07	
i 	30.20	P60	540	20.44   0.08	
i 	31.15	RATIR	4000	20.43   0.14	
i 	32.15	RATIR	5440	20.52   0.07	
i 	34.18	P60	540	20.67   0.07	
i 	35.17	RATIR	3680	20.68   0.07	
i 	37.88	Liverpool	150	21.01   0.05	
i 	39.87	Liverpool	150	21.03   0.08	
i 	41.16	RATIR	3840	20.88   0.08	
i 	45.15	RATIR	2080	21.05   0.11	
i 	45.87	Liverpool	150	21.16   0.10	
i 	46.15	RATIR	3120	21.12   0.10	
i 	47.88	Liverpool	150	21.14   0.13	
i 	53.86	Liverpool	150	21.56   0.09	
i 	58.86	Liverpool	150	21.65   0.09	
i 	62.86	Liverpool	150	21.53   0.12	
i 	632.39	DCT	1200	23.03   0.06	
z 	2.16	RATIR	5700	18.91   0.09	
z 	2.21	P60	870	19.02   0.08	
z 	3.21	RATIR	3780	19.36   0.07	
z 	3.24	P60	840	19.43   0.09	
z 	4.19	P60	1320	19.53   0.10	
z 	4.21	RATIR	4020	19.72   0.12	
z 	5.20	P60	1020	19.84   0.12	
z 	5.21	RATIR	3720	19.84   0.08	
z 	6.20	RATIR	3660	19.94   0.11	
z 	6.26	P60	540	19.95   0.12	
z 	7.18	P60	540	20.04   0.11	
z 	7.19	RATIR	2820	19.71   0.35	
z 	8.22	RATIR	2940	19.98   0.13	
z 	9.87	Liverpool	150	20.11   0.12	
z 	10.87	Liverpool	150	19.99   0.12	
z 	11.87	Liverpool	150	20.13   0.11	
z 	12.22	RATIR	2160	19.94   0.13	
z 	12.87	Liverpool	150	20.02   0.11	
z 	13.16	RATIR	960	20.02   0.12	
z 	13.87	Liverpool	150	19.82   0.13	
z 	14.18	RATIR	2820	19.87   0.12	
z 	15.16	RATIR	3960	20.01   0.10	
z 	15.87	Liverpool	150	20.21   0.20	
z 	17.88	Liverpool	150	20.10   0.08	
z 	19.88	Liverpool	150	20.08   0.05	
z 	21.88	Liverpool	150	20.19   0.06	
z 	23.88	Liverpool	150	20.27   0.04	
z 	25.17	RATIR	3300	20.46   0.14	
z 	26.15	RATIR	1560	20.06   0.13	
z 	27.15	RATIR	3900	20.30   0.09	
z 	27.90	Liverpool	150	20.33   0.07	
z 	28.16	RATIR	3780	20.23   0.09	
z 	29.15	RATIR	3900	20.49   0.10	
z 	30.19	RATIR	2340	20.44   0.15	
z 	31.15	RATIR	2940	20.45   0.11	
z 	32.15	RATIR	4080	20.81   0.15	
z 	34.15	RATIR	3660	20.87   0.12	
z 	35.17	RATIR	2820	20.96   0.14	
z 	37.87	Liverpool	150	21.15   0.15	
z 	39.87	Liverpool	150	21.33   0.20	
z 	45.86	Liverpool	150	21.41   0.30	
z 	53.85	Liverpool	150	21.27   0.13	
z 	58.85	Liverpool	150	21.60   0.20	
z 	62.85	Liverpool	150	21.85   0.29	
z 	632.41	DCT	1200	23.02   0.12	
y	2.16	RATIR	5700	18.78   0.08	
y	3.21	RATIR	3780	19.23   0.08	
y	4.21	RATIR	4020	19.53   0.09	
y	5.21	RATIR	3720	19.70   0.09	
y	6.20	RATIR	3660	19.79   0.07	
y	12.22	RATIR	2160	19.49   0.10	
y	13.16	RATIR	960	19.70   0.13	
y	14.18	RATIR	2820	19.75   0.09	
y	15.16	RATIR	3960	19.73   0.11	
y	22.16	RATIR	2340	19.85   0.13	
y	25.17	RATIR	3300	19.69   0.14	
y	26.15	RATIR	1560	20.00   0.13	
y	27.15	RATIR	3900	20.05   0.09	
y	28.16	RATIR	3780	20.01   0.09	
y	29.15	RATIR	3900	20.03   0.10	
y	30.19	RATIR	2340	20.04   0.11	
y	31.15	RATIR	2940	20.28   0.12	
y	32.15	RATIR	4080	20.00   0.11	
y	34.15	RATIR	3660	20.49   0.14	
y	35.17	RATIR	2820	20.51   0.14	
J	2.16	RATIR	6380	18.75   0.09	
J	3.21	RATIR	4230	19.22   0.07	
J	4.21	RATIR	4500	19.65   0.09	
J	5.21	RATIR	4160	19.64   0.10	
J	6.20	RATIR	4090	19.85   0.10	
J	14.18	RATIR	3150	20.07   0.12	
J	15.16	RATIR	4430	19.86   0.11	
J	27.15	RATIR	4360	19.92   0.13	
J	28.16	RATIR	4230	20.05   0.12	
J	29.15	RATIR	4360	20.23   0.13	
J	349.45	Keck/MOSFIRE	132	23.18   0.32	
H	2.16	RATIR	6380	18.60   0.09	
H	3.21	RATIR	4230	18.96   0.08	
H	4.21	RATIR	4500	19.37   0.11	
H	5.21	RATIR	4160	19.83   0.12	
H	6.20	RATIR	4090	19.89   0.13	
#K_s	349.44	Keck/MOSFIRE	79 >22.29
#Note. AB magnitudes, not corrected for Galactic extinction.
