Table 2
Imaging Log

#Filter	Epoch	Telescope	Exp.	AB mag		(days)		(s)		
u 	330.49	Keck/LRIS	203	24.50   0.14	
g 	1.17	P60	120	18.80   0.04	
g 	1.26	P60	120	18.86   0.04	
g 	2.21	P60	270	19.52   0.04	
g 	3.23	P60	450	20.02   0.05	
g 	4.19	P60	1260	20.22   0.04	
g 	5.27	P60	540	20.35   0.04	
g 	6.28	P60	540	20.31   0.04	
g 	7.20	P60	720	20.32   0.04	
g 	9.87	Liverpool	130	20.35   0.33	
g 	10.87	Liverpool	130	20.39   0.35	
g 	11.26	P60	720	20.22   0.05	
g 	11.87	Liverpool	130	20.06   0.21	
g 	12.18	P60	660	20.23   0.03	
g 	12.86	Liverpool	130	20.00   0.23	
g 	13.86	Liverpool	130	20.39   0.34	
g 	14.18	P60	720	20.31   0.06	
g 	15.18	P60	720	20.43   0.07	
g 	16.18	P60	720	20.36   0.13	
g 	17.87	Liverpool	150	20.32   0.13	
g 	19.87	Liverpool	150	20.78   0.19	
g 	21.87	Liverpool	150	20.98   0.15	
g 	23.87	Liverpool	150	21.25   0.30	
g 	27.92	Liverpool	150	21.53   0.07	
g 	29.21	P60	540	21.62   0.12	
g 	30.19	P60	1080	21.72   0.09	
g 	34.17	P60	1080	21.84   0.08	
g 	37.89	Liverpool	450	22.06   0.08	
g 	39.88	Liverpool	450	22.11   0.09	
g 	45.88	Liverpool	450	22.64   0.34	
g 	53.88	Liverpool	150	22.42   0.07	
g 	58.88	Liverpool	150	22.56   0.06	
g 	62.87	Liverpool	150	22.60   0.09	
g 	330.48	Keck/LRIS	203	23.51   0.03	
g 	632.37	DCT	1200	23.66   0.04	
r 	0.18	P48	60	17.38   0.04	
r 	0.21	P48	60	17.52   0.04	
r 	1.26	P60	360	18.66   0.05	
r 	2.16	RATIR	7600	19.23   0.06	
r 	2.21	P60	420	19.32   0.04	
r 	3.21	RATIR	5040	19.67   0.04	
r 	3.25	P60	120	19.70   0.08	
r 	4.18	P60	1320	19.97   0.04	
r 	4.21	RATIR	5360	19.88   0.05	
r 	5.21	RATIR	4960	19.95   0.05	
r 	5.27	P60	540	20.00   0.04	
r 	6.20	RATIR	4880	19.94   0.05	
r 	6.27	P60	540	20.04   0.04	
r 	7.19	RATIR	2640	19.90   0.05	
r 	7.19	P60	720	20.06   0.04	
r 	8.22	RATIR	3920	19.82   0.05	
r 	9.87	Liverpool	130	19.86   0.07	
r 	10.87	Liverpool	130	19.69   0.07	
r 	11.25	P60	660	19.82   0.02	
r 	11.87	Liverpool	130	19.73   0.07	
r 	12.18	P60	660	19.78   0.04	
r 	12.22	RATIR	2880	19.70   0.04	
r 	12.87	Liverpool	130	19.74   0.08	
r 	13.16	RATIR	1280	19.68   0.05	
r 	13.87	Liverpool	130	19.68   0.10	
r 	14.18	P60	660	19.70   0.04	
r 	14.18	RATIR	3760	19.68   0.07	
r 	15.16	RATIR	5280	19.70   0.05	
r 	15.17	P60	660	19.64   0.04	
r 	15.87	Liverpool	150	19.80   0.07	
r 	16.17	P60	660	19.76   0.08	
r 	17.87	Liverpool	150	19.83   0.03	
r 	19.87	Liverpool	150	19.92   0.04	
r 	21.88	Liverpool	150	20.00   0.03	
r 	23.87	Liverpool	150	20.20   0.02	
r 	25.17	RATIR	4560	20.16   0.07	
r 	26.15	RATIR	2160	20.22   0.05	
r 	27.15	RATIR	5200	20.31   0.05	
r 	27.91	Liverpool	150	20.42   0.03	
r 	28.16	RATIR	5120	20.38   0.05	
