52307.25	12.36	0.06
52309.25	11.99	0.05
52313.25	11.60	0.03
52319.27	11.53	0.03
52320.25	11.52	0.02
52321.25	11.50	0.03
52322.25	11.58	0.04
52323.40	11.58	0.02
52326.24	11.67	0.05
52327.24	11.67	0.03
52337.23	12.24	0.37
52338.24	99	99
52343.24	12.57	0.08
52344.23	12.53	0.12
52437.61	15.01	0.07
52438.60	99	99
52439.60	99	99
52441.60	99	99
52443.60	99	99
