2456461.17 99.99 9.99 20.95 0.41 99.99 9.99
2456462.71 18.83 0.17 99.99 9.99 99.99 9.99
2456465.05 17.49 0.07 19.88 0.18 99.99 9.99
2456470.53 16.77 0.04 19.00 0.08 22.25 0.71
2456473.73 16.98 0.05 19.37 0.11 22.15 0.66
2456478.08 17.53 0.06 20.20 0.22 99.99 9.99
2456482.08 18.20 0.12 20.23 0.27 99.99 9.99
2456485.76 19.24 0.22 99.99 9.99 99.99 9.99
2456496.95 20.29 0.38 99.99 9.99 99.99 9.99
