2456459.738 18.611 0.050 r P48
2456459.791 18.619 0.050 r P48
2456460.740 17.612 0.040 r P48
2456460.788 17.552 0.040 r P48
2456460.877 17.668 0.010 i P60
2456460.878 17.500 0.010 r P60
2456460.883 17.832 0.010 g P60
2456461.251 17.906 0.018 B LCOGT
2456461.260 17.328 0.015 V LCOGT
2456461.334 17.627 0.009 g LCOGT
2456461.341 17.207 0.014 r LCOGT
2456461.346 17.317 0.014 i LCOGT
2456461.350 17.114 0.043 z LCOGT
2456461.500 17.838 0.021 B LCOGT
2456461.510 17.215 0.019 V LCOGT
2456461.514 17.569 0.016 g LCOGT
2456461.524 17.125 0.015 r LCOGT
2456461.529 17.367 0.021 i LCOGT
2456461.564 17.680 0.060 U LCOGT
2456461.584 16.930 0.023 R LCOGT
2456461.589 16.861 0.016 I LCOGT
2456461.594 17.189 0.041 z LCOGT
2456461.671 17.226 0.010 i P60
2456461.674 17.058 0.010 r P60
2456461.727 17.080 0.040 r P60
2456461.771 17.055 0.040 r P60
2456461.803 17.200 0.010 i P60
2456461.805 17.042 0.010 r P60
2456461.836 17.180 0.010 i P60
2456461.837 17.487 0.010 g P60
2456462.196 16.587 0.050 I LCOGT
2456462.200 16.857 0.065 z LCOGT
2456462.530 17.483 0.017 B LCOGT
2456462.539 16.897 0.015 V LCOGT
2456462.557 17.410 0.070 U LCOGT
2456462.584 16.553 0.011 R LCOGT
2456462.589 16.430 0.014 I LCOGT
2456462.593 16.753 0.030 z LCOGT
2456462.698 17.450 0.022 B LCOGT
2456462.707 16.867 0.016 V LCOGT
2456462.712 17.256 0.013 g LCOGT
2456462.722 16.702 0.014 r LCOGT
2456462.727 16.901 0.021 i LCOGT
2456462.823 16.502 0.017 R LCOGT
2456462.828 16.484 0.037 I LCOGT
2456462.833 16.699 0.044 z LCOGT
2456463.500 17.135 0.022 B LCOGT
2456463.504 16.620 0.019 V LCOGT
2456463.506 16.922 0.013 g LCOGT
2456463.510 16.421 0.020 r LCOGT
2456463.512 16.561 0.021 i LCOGT
2456463.563 16.214 0.013 R LCOGT
2456463.565 16.163 0.027 I LCOGT
2456463.567 16.452 0.052 z LCOGT
2456465.467 16.430 0.050 U LCOGT
2456465.570 16.572 0.016 B LCOGT
2456465.573 16.080 0.014 V LCOGT
2456465.576 15.783 0.016 R LCOGT
2456465.578 15.722 0.016 I LCOGT
2456465.580 16.351 0.013 g LCOGT
2456465.584 15.955 0.017 r LCOGT
2456465.586 16.124 0.016 i LCOGT
2456465.588 16.097 0.037 z LCOGT
2456467.570 16.146 0.012 B LCOGT
2456467.573 15.748 0.009 V LCOGT
2456467.576 15.484 0.010 R LCOGT
2456467.578 15.400 0.016 I LCOGT
2456467.580 15.991 0.007 g LCOGT
2456467.584 15.665 0.010 r LCOGT
2456467.586 15.793 0.012 i LCOGT
2456467.588 15.745 0.036 z LCOGT
2456467.775 15.814 0.010 i P60
2456467.777 15.679 0.010 r P60
2456467.778 15.961 0.010 g P60
2456468.594 16.032 0.014 B LCOGT
2456468.598 15.591 0.015 V LCOGT
2456468.600 15.888 0.008 g LCOGT
2456468.604 15.607 0.012 r LCOGT
2456468.606 15.736 0.010 i LCOGT
2456468.613 15.670 0.050 U LCOGT
2456469.570 15.989 0.007 B LCOGT
2456469.573 15.571 0.009 V LCOGT
2456469.576 15.319 0.009 R LCOGT
2456469.578 15.238 0.010 I LCOGT
2456469.580 15.833 0.007 g LCOGT
2456469.584 15.527 0.007 r LCOGT
2456469.586 15.641 0.012 i LCOGT
2456469.588 15.619 0.021 z LCOGT
2456469.759 15.608 0.010 i P60
2456469.760 15.480 0.010 r P60
2456469.761 15.745 0.010 g P60
2456470.722 15.530 0.010 i P60
2456470.723 15.411 0.010 r P60
2456470.724 15.684 0.010 g P60
2456471.408 15.805 0.006 B LCOGT
2456471.416 15.358 0.013 V LCOGT
2456471.427 15.327 0.015 r LCOGT
2456471.431 15.467 0.021 i LCOGT
2456471.573 15.889 0.011 B LCOGT
2456471.577 15.382 0.007 V LCOGT
2456471.584 15.364 0.010 r LCOGT
2456471.586 15.461 0.010 i LCOGT
2456471.588 15.382 0.029 z LCOGT
2456471.685 15.462 0.010 i P60
2456471.686 15.338 0.010 r P60
2456471.687 15.626 0.010 g P60
2456472.666 15.794 0.006 B LCOGT
2456472.673 15.322 0.008 V LCOGT
2456472.677 15.630 0.004 g LCOGT
2456472.685 15.287 0.006 r LCOGT
2456472.689 15.410 0.006 i LCOGT
2456472.690 15.418 0.010 i P60
2456472.691 15.280 0.010 r P60
2456472.704 15.591 0.010 g P60
2456473.782 15.356 0.010 i P60
2456473.782 15.241 0.010 r P60
2456473.783 15.557 0.010 g P60
2456473.784 15.365 0.010 i P60
2456473.785 15.241 0.010 r P60
2456473.786 15.567 0.010 g P60
2456474.705 15.316 0.010 i P60
2456474.706 15.190 0.010 r P60
2456474.707 15.545 0.010 g P60
2456475.454 15.790 0.009 B LCOGT
2456475.455 15.238 0.007 V LCOGT
2456475.459 15.552 0.007 g LCOGT
2456475.461 15.161 0.007 r LCOGT
2456475.463 15.267 0.010 i LCOGT
2456475.549 15.808 0.006 B LCOGT
2456475.553 15.258 0.007 V LCOGT
2456475.555 14.955 0.006 R LCOGT
2456475.557 14.853 0.008 I LCOGT
2456475.559 15.536 0.006 g LCOGT
2456475.563 15.151 0.007 r LCOGT
2456475.565 15.265 0.007 i LCOGT
2456475.567 15.219 0.022 z LCOGT
2456475.687 15.268 0.010 i P60
2456475.687 15.160 0.010 r P60
2456475.688 15.527 0.010 g P60
2456475.689 15.259 0.010 i P60
2456475.690 15.158 0.010 r P60
2456475.691 15.540 0.010 g P60
2456476.549 15.837 0.012 B LCOGT
2456476.553 15.238 0.009 V LCOGT
2456476.555 14.926 0.011 R LCOGT
2456476.557 14.780 0.011 I LCOGT
2456476.559 15.613 0.013 g LCOGT
2456476.563 15.170 0.013 r LCOGT
2456476.565 15.267 0.012 i LCOGT
2456476.567 15.145 0.022 z LCOGT
2456476.722 15.549 0.010 g P60
2456477.722 15.203 0.010 i P60
2456477.722 15.122 0.010 r P60
2456477.737 15.361 0.040 V LCOGT
2456477.739 14.954 0.019 R LCOGT
2456477.741 14.752 0.036 I LCOGT
2456477.743 15.610 0.012 g LCOGT
2456477.747 15.104 0.024 r LCOGT
2456477.749 15.212 0.035 i LCOGT
2456478.743 15.677 0.005 g LCOGT
2456478.747 15.145 0.008 r LCOGT
2456478.749 15.201 0.010 i LCOGT
2456478.751 15.082 0.028 z LCOGT
2456479.733 16.118 0.012 B LCOGT
2456479.736 15.306 0.007 V LCOGT
2456479.739 14.928 0.009 R LCOGT
2456479.741 14.753 0.012 I LCOGT
2456479.743 15.734 0.005 g LCOGT
2456479.746 15.187 0.010 i P60
2456479.747 15.139 0.009 r LCOGT
2456479.747 15.149 0.010 r P60
2456479.748 15.722 0.010 g P60
2456479.749 15.216 0.011 i LCOGT
2456479.751 15.008 0.023 z LCOGT
2456480.262 16.368 0.021 U LCOGT
2456480.358 16.122 0.017 B LCOGT
2456480.361 15.316 0.024 V LCOGT
2456480.363 15.779 0.024 g LCOGT
2456480.366 15.170 0.029 r LCOGT
2456480.368 15.203 0.018 i LCOGT
2456480.549 16.176 0.009 B LCOGT
2456480.552 15.327 0.007 V LCOGT
2456480.555 14.919 0.008 R LCOGT
2456480.557 14.773 0.009 I LCOGT
2456480.559 15.813 0.006 g LCOGT
2456480.563 15.173 0.007 r LCOGT
2456480.565 15.219 0.007 i LCOGT
2456480.567 15.155 0.022 z LCOGT
2456480.703 15.199 0.010 i P60
2456480.704 15.188 0.010 r P60
2456480.705 15.798 0.010 g P60
2456480.733 16.249 0.013 B LCOGT
2456480.736 15.379 0.009 V LCOGT
2456480.739 14.958 0.010 R LCOGT
2456480.741 14.752 0.011 I LCOGT
2456480.743 15.829 0.009 g LCOGT
2456480.747 15.179 0.009 r LCOGT
2456480.749 15.227 0.012 i LCOGT
2456480.751 15.107 0.031 z LCOGT
2456481.692 15.219 0.010 i P60
2456481.693 15.241 0.010 r P60
2456481.695 16.342 0.014 B LCOGT
2456481.698 15.438 0.007 V LCOGT
2456481.700 15.020 0.007 R LCOGT
2456481.703 14.784 0.014 I LCOGT
2456481.705 15.894 0.006 g LCOGT
2456481.709 15.245 0.008 r LCOGT
2456481.711 15.237 0.010 i LCOGT
2456481.713 15.127 0.029 z LCOGT
2456482.731 16.016 0.010 g P60
2456483.197 16.629 0.017 B LCOGT
2456483.200 15.608 0.012 V LCOGT
2456483.202 16.087 0.009 g LCOGT
2456483.206 15.340 0.008 r LCOGT
2456483.208 15.353 0.009 i LCOGT
2456483.710 16.184 0.007 g LCOGT
2456483.713 15.414 0.010 r LCOGT
2456485.691 15.488 0.010 i P60
2456485.692 15.596 0.010 r P60
2456485.693 16.449 0.010 g P60
2456485.695 17.056 0.018 B LCOGT
2456485.698 15.869 0.011 V LCOGT
2456485.700 15.338 0.011 R LCOGT
2456485.703 15.045 0.019 I LCOGT
2456485.705 16.437 0.012 g LCOGT
2456485.709 15.599 0.008 r LCOGT
2456485.711 15.484 0.011 i LCOGT
2456485.713 15.345 0.035 z LCOGT
2456486.346 18.010 0.100 U LCOGT
2456486.691 15.569 0.010 i P60
2456486.692 15.694 0.010 r P60
2456486.693 16.561 0.010 g P60
2456487.584 17.258 0.018 B LCOGT
2456487.587 16.113 0.010 V LCOGT
2456487.589 16.666 0.015 g LCOGT
2456487.592 15.773 0.020 r LCOGT
2456487.594 15.625 0.013 i LCOGT
2456487.695 17.332 0.016 B LCOGT
2456487.698 16.118 0.011 V LCOGT
2456487.700 15.515 0.009 R LCOGT
2456487.703 15.196 0.016 I LCOGT
2456487.705 16.694 0.008 g LCOGT
2456487.709 15.794 0.011 r LCOGT
2456487.711 15.644 0.015 i LCOGT
2456487.713 15.431 0.022 z LCOGT
2456487.721 15.651 0.010 i P60
2456487.722 15.791 0.010 r P60
2456487.722 16.714 0.010 g P60
2456488.685 15.721 0.010 i P60
2456488.685 15.874 0.010 r P60
2456488.686 16.796 0.010 g P60
2456488.716 15.299 0.050 I LCOGT
2456488.726 16.817 0.014 g LCOGT
2456488.730 15.899 0.019 r LCOGT
2456488.734 15.399 0.050 z LCOGT
2456494.705 18.481 0.513 U LCOGT
2456494.708 18.046 0.084 B LCOGT
2456495.699 18.003 0.050 B LCOGT
2456499.708 18.172 0.053 B LCOGT
2456499.711 16.949 0.023 V LCOGT
2456499.714 16.269 0.016 R LCOGT
2456499.716 15.823 0.018 I LCOGT
2456499.726 17.537 0.020 g LCOGT
2456499.729 16.608 0.022 r LCOGT
2456499.732 16.381 0.024 i LCOGT
2456499.734 15.840 0.043 z LCOGT
