2455936.977 17.240 0.031 r P48
2455936.979 17.266 0.034 r P48
2455939.978 16.702 0.019 r P48
2455939.981 16.731 0.019 r P48
2455944.927 16.132 0.037 i P60
2455944.929 16.199 0.019 r P60
2455944.931 17.112 0.023 B P60
2455944.932 16.143 0.070 z P60
2455944.934 16.755 0.024 g P60
2455945.949 16.033 0.013 i P60
2455945.950 16.144 0.009 r P60
2455945.950 16.649 0.014 g P60
2455947.033 16.140 0.010 r P48
2455947.034 16.125 0.010 r P48
2455948.987 15.885 0.016 i P60
2455948.988 15.975 0.029 r P60
2455948.989 16.931 0.023 B P60
2455948.990 15.839 0.021 z P60
2455948.991 16.532 0.013 g P60
2455951.932 15.825 0.024 i P60
2455951.933 15.929 0.013 r P60
2455951.934 17.098 0.028 B P60
2455951.934 15.743 0.041 z P60
2455951.935 16.605 0.015 g P60
2455952.027 15.959 0.012 r P48
2455952.033 15.963 0.010 r P48
2455953.028 15.807 0.011 i P60
2455953.028 15.925 0.005 r P60
2455953.029 17.176 0.024 B P60
2455953.030 15.734 0.019 z P60
2455953.031 16.678 0.009 g P60
2455953.927 15.794 0.020 i P60
2455953.928 15.931 0.005 r P60
2455953.929 16.748 0.014 g P60
2455954.705 16.856 0.041 g LT
2455954.705 15.898 0.052 r LT
2455954.706 15.824 0.026 i LT
2455954.706 15.730 0.053 z LT
2455954.923 15.807 0.031 i P60
2455954.924 15.969 0.092 r P60
2455954.925 16.861 0.048 g P60
2455957.916 15.867 0.016 i P60
2455957.917 16.078 0.013 r P60
2455957.918 17.600 0.064 B P60
2455957.919 15.781 0.027 z P60
2455957.919 17.069 0.017 g P60
2455958.913 15.895 0.019 i P60
2455958.914 16.124 0.008 r P60
2455958.915 17.161 0.011 g P60
2455958.996 16.121 0.012 r P48
2455959.000 16.126 0.013 r P48
2455959.688 17.235 0.034 g LT
2455959.689 16.114 0.076 r LT
2455959.689 15.920 0.047 i LT
2455959.690 15.809 0.067 z LT
2455959.910 15.930 0.031 i P60
2455959.911 16.173 0.015 r P60
2455959.912 17.924 0.050 B P60
2455959.913 15.831 0.046 z P60
2455959.914 17.278 0.025 g P60
2455960.737 17.336 0.058 g LT
2455960.738 16.191 0.053 r LT
2455960.738 15.958 0.040 i LT
2455960.739 15.821 0.052 z LT
2455960.908 15.960 0.041 i P60
2455960.908 16.229 0.014 r P60
2455960.909 18.111 0.069 B P60
2455960.910 15.866 0.022 z P60
2455960.911 17.372 0.024 g P60
2455961.995 16.271 0.011 r P48
2455962.011 16.270 0.010 r P48
2455962.937 15.914 0.025 z P60
2455963.666 16.007 0.104 i LT
2455963.666 15.892 0.064 z LT
2455963.927 15.964 0.023 z P60
2455964.664 16.451 0.061 r LT
2455964.664 16.095 0.048 i LT
2455964.665 15.821 0.073 z LT
2455966.730 17.800 0.081 g LT
2455966.730 16.192 0.072 i LT
2455966.731 16.068 0.087 z LT
2455966.891 16.210 0.029 i P60
2455966.892 16.595 0.026 r P60
2455966.893 18.565 0.144 B P60
2455966.893 16.058 0.035 z P60
2455966.894 17.894 0.053 g P60
2455966.919 18.585 0.210 B P60
2455968.956 16.641 0.013 r P48
2455968.962 16.629 0.013 r P48
2455973.860 16.451 0.010 i NTT
2455974.870 16.492 0.037 i P60
2455974.871 16.919 0.020 r P60
2455974.872 19.015 0.086 B P60
2455974.873 16.246 0.051 z P60
2455974.874 18.377 0.038 g P60
2455974.922 19.076 0.083 B P60
2455975.867 16.513 0.016 i P60
2455975.868 16.965 0.011 r P60
2455975.874 19.123 0.048 B P60
2455975.875 18.401 0.020 g P60
2455975.921 16.915 0.010 r P48
2455975.966 16.888 0.008 r P48
2455977.928 16.313 0.023 z P60
2455978.995 17.013 0.010 r P48
2455979.046 17.019 0.009 r P48
2455979.732 18.558 0.055 g LT
2455979.733 17.138 0.032 r LT
2455979.734 16.654 0.027 i LT
2455979.735 16.335 0.040 z LT
2455981.990 17.126 0.014 r P48
2455982.037 17.115 0.013 r P48
2455983.848 16.383 0.022 z P60
2455988.908 16.898 0.021 i P60
2455988.908 17.343 0.013 r P60
2455988.909 19.399 0.091 B P60
2455988.911 16.458 0.035 z P60
2455988.912 18.712 0.032 g P60
2455989.013 19.448 0.061 B P60
2455989.859 17.307 0.030 r P48
2455989.903 17.300 0.021 r P48
2455990.608 17.324 0.043 r LT
2455990.610 16.520 0.049 z LT
2455992.730 16.947 0.077 i LT
2455992.834 16.985 0.033 i P60
2455992.835 17.446 0.023 r P60
2455992.836 19.610 0.266 B P60
2455992.837 16.520 0.028 z P60
2455992.838 18.786 0.065 g P60
2455998.720 18.812 0.059 g LT
2455998.723 16.614 0.071 z LT
2456000.838 17.504 0.012 r P48
2456000.887 17.481 0.013 r P48
2456002.796 17.517 0.016 r P48
2456004.755 18.952 0.045 g LT
2456004.756 17.562 0.026 r LT
2456004.758 16.704 0.031 z LT
2456006.970 17.619 0.015 r P48
2456007.991 17.636 0.015 r P48
2456008.781 17.643 0.019 r P48
2456010.722 19.030 0.076 g LT
2456010.723 17.726 0.021 r LT
2456010.724 17.315 0.030 i LT
2456010.725 16.774 0.050 z LT
2456014.016 17.750 0.020 r P48
2456015.846 17.433 0.026 i P60
2456015.846 17.818 0.013 r P60
2456015.847 19.542 0.065 B P60
2456015.848 16.791 0.032 z P60
2456015.849 19.031 0.021 g P60
2456016.754 17.429 0.054 i P60
2456016.755 17.809 0.064 r P60
2456016.758 19.049 0.077 g P60
2456017.752 17.458 0.035 i P60
2456017.753 17.822 0.029 r P60
2456017.754 19.495 0.194 B P60
2456017.754 16.838 0.036 z P60
2456017.755 19.040 0.051 g P60
2456019.747 17.485 0.062 i P60
2456019.747 17.868 0.049 r P60
2456019.750 16.883 0.068 z P60
2456019.751 19.056 0.148 g P60
2456020.744 17.496 0.035 i P60
2456020.745 17.876 0.038 r P60
2456020.746 19.562 0.216 B P60
2456020.747 19.080 0.084 g P60
2456021.741 17.520 0.152 i P60
2456021.744 16.832 0.135 z P60
2456022.739 17.504 0.040 i P60
2456022.740 17.893 0.048 r P60
2456022.742 16.919 0.052 z P60
2456022.742 19.031 0.129 g P60
2456023.735 17.486 0.176 i P60
2456027.724 17.600 0.033 i P60
2456027.725 17.983 0.025 r P60
2456027.726 19.499 0.107 B P60
2456027.727 16.987 0.040 z P60
2456027.728 19.109 0.038 g P60
2456033.709 17.670 0.053 i P60
2456033.710 18.049 0.039 r P60
2456033.711 17.051 0.059 z P60
2456033.712 19.180 0.042 g P60
2456033.794 19.678 0.093 B P60
2456033.795 17.026 0.030 z P60
2456034.705 17.695 0.029 i P60
2456034.706 18.085 0.025 r P60
2456034.707 19.202 0.052 g P60
2456035.703 17.696 0.044 i P60
2456035.703 18.068 0.029 r P60
2456035.705 19.186 0.065 g P60
2456036.906 17.737 0.025 i P60
2456036.907 18.117 0.015 r P60
2456036.908 19.208 0.024 g P60
2456037.736 17.724 0.023 i P60
2456037.737 18.124 0.010 r P60
2456037.739 19.230 0.020 g P60
2456038.695 17.761 0.026 i P60
2456038.696 18.103 0.010 r P60
2456038.697 19.247 0.030 g P60
2456039.692 17.749 0.022 i P60
2456039.692 18.142 0.012 r P60
2456039.694 19.236 0.021 g P60
2456040.701 17.762 0.026 i P60
2456040.704 19.253 0.060 g P60
2456041.780 17.797 0.055 i P60
2456041.781 18.134 0.026 r P60
2456041.783 19.261 0.063 g P60
2456048.574 19.332 0.052 g NOT
2456048.581 18.245 0.035 r NOT
