55097.01	99	99
55098.01	99	99
55100.0	99	99
55100.61	99	99
55101.11	99	99
55103.08	99	99
55104.08	99	99
55105.1	99	99
55105.5	16.030	0.077
55106.13	16.016	0.011
55106.14	99	99
55108.12	99	99
55108.91	15.424	0.013
55109.11	99	99
55109.83	15.32	0.11
55110.86	15.268	0.031
55110.88	15.214	0.011
55111.81	15.13	0.16
55112.07	99	99
55112.89	14.988	0.009
55113.06	14.958	0.018
55114.14	14.90	0.11
55114.89	14.879	0.008
55116.05	14.803	0.009
55116.9	14.737	0.007
55117.13	14.707	0.055
55117.98	14.665	0.035
55118.84	14.664	0.009
55119.1	14.648	0.013
55120.95	14.639	0.014
55122.03	14.584	0.013
55122.87	14.563	0.006
55124.12	14.560	0.008
55125.02	14.615	0.020
55127.84	14.614	0.016
55128.07	14.657	0.010
55129.04	99	99
55131.04	14.673	0.011
55132.1	99	99
55133.02	14.759	0.052
55137.02	14.866	0.016
55138.04	14.924	0.013
55138.83	14.906	0.010
55139.88	14.969	0.019
55141.02	99	99
55144.06	15.120	0.024
55146.83	15.258	0.011
55147.04	15.247	0.014
55147.04	99	99
55148.84	15.340	0.009
55148.87	15.330	0.013
55149.03	15.303	0.015
55153.91	15.397	0.029
55154.04	15.433	0.056
55157.02	15.511	0.017
55157.76	15.508	0.012
55158.85	15.594	0.010
55159.06	15.576	0.016
55162.03	15.633	0.015
55166.82	15.793	0.012
55171.84	15.869	0.008
55193.8	16.196	0.065
55194.79	16.214	0.045
55198.77	16.273	0.060
55203.86	16.412	0.015
55368.4	19.273	0.051
55392.07	19.97	0.15
55473.28	99	99
55480.04	99	99
