55108.91	99	99
55110.88	99	99
55112.89	15.438	0.016
55113.05	15.334	0.077
55114.89	15.240	0.016
55116.06	15.207	0.017
55116.91	15.169	0.017
55117.12	15.090	0.028
55118.85	15.080	0.012
55119.12	15.045	0.021
55122.03	14.942	0.024
55125.03	14.929	0.023
55127.84	14.978	0.010
55128.01	99	99
55129.05	99	99
55131.02	15.030	0.014
55132.03	15.065	0.014
55138.04	15.244	0.037
55138.84	15.263	0.016
55140.02	15.288	0.030
55146.83	15.479	0.024
55148.28	15.499	0.015
55148.85	15.531	0.012
55154.02	15.605	0.008
55158.86	15.640	0.009
55159.02	15.647	0.019
55166.82	15.785	0.013
55167.05	99	99
55171.84	15.892	0.044
