55108.91	99	99
55110.88	99	99
55112.89	15.569	0.008
55113.05	15.428	0.092
55114.89	15.394	0.017
55116.06	15.390	0.015
55116.91	15.327	0.015
55117.12	15.350	0.024
55118.85	15.328	0.018
55119.12	15.305	0.024
55122.03	99	99
55125.03	15.429	0.012
55127.84	15.527	0.015
55128.01	15.557	0.011
55129.05	15.575	0.011
55131.02	15.711	0.010
55132.03	15.777	0.016
55138.04	16.314	0.061
55138.84	16.408	0.008
55140.02	16.400	0.012
55146.83	99	99
55148.28	16.967	0.017
55148.85	17.004	0.018
55154.02	99	99
55158.86	17.167	0.018
55159.02	99	99
55166.82	17.249	0.026
55167.05	99	99
55171.84	17.283	0.017
