55108.91	99	99
55110.88	99	99
55112.89	16.688	0.018
55113.05	99	99
55114.89	16.644	0.022
55116.06	99	99
55116.91	16.552	0.024
55117.12	99	99
55118.85	16.568	0.024
55119.12	99	99
55122.03	99	99
55125.03	99	99
55127.84	17.301	0.021
55128.01	99	99
55129.05	99	99
55131.02	99	99
55132.03	99	99
55138.04	99	99
55138.84	18.370	0.039
55140.02	99	99
55146.83	99	99
55148.28	99	99
55148.85	18.966	0.136
55154.02	99	99
55158.86	19.122	0.039
55159.02	99	99
55166.82	19.151	0.098
55167.05	99	99
55171.84	19.206	0.056
