Optical photometry of SE SNe in the Swope natural system.
JD  u, uerr, g, gerr, r, rerr, i, ierr, B, Berr, V, Verr
2453529.49  20.202 0.047  18.632 0.011  INDEF  INDEF  INDEF  INDEF  19.096 0.016  18.150 0.014  
2453530.48  20.182 0.038  18.677 0.015  INDEF  INDEF  INDEF  INDEF  19.166 0.016  18.205 0.017  
2453538.48  INDEF  INDEF  INDEF  INDEF  INDEF  INDEF  INDEF  INDEF  19.545 0.041  18.536 0.015  
2453539.46  INDEF  INDEF  INDEF  INDEF  INDEF  INDEF  INDEF  INDEF  INDEF  INDEF  18.586 0.019  
2453542.46  INDEF  INDEF  INDEF  INDEF  INDEF  INDEF  INDEF  INDEF  INDEF  INDEF  18.660 0.020  
2453565.48  INDEF  INDEF  INDEF  INDEF  INDEF  INDEF  18.386 0.118  20.486 0.064  19.569 0.026  
2453569.48  INDEF  INDEF  INDEF  INDEF  INDEF  INDEF  INDEF  INDEF  20.740 0.150  19.750 0.044  
2005bj 
2453473.86  20.117 0.056  18.263 0.008  17.518 0.009  17.528 0.012  18.735 0.011  17.771 0.008  
2453474.89  20.208 0.052  18.317 0.010  17.503 0.009  17.496 0.012  18.812 0.013  17.789 0.010  
2453475.89  20.367 0.044  18.360 0.011  17.529 0.011  17.498 0.014  18.864 0.013  17.817 0.011  
2453476.88  20.438 0.100  18.445 0.011  17.543 0.011  17.499 0.015  18.947 0.017  17.865 0.011  
2453477.90  20.664 0.063  18.517 0.015  17.573 0.011  17.513 0.013  19.046 0.014  17.926 0.010  
2453478.88  20.774 0.068  18.593 0.012  17.613 0.012  17.531 0.014  19.067 0.070  17.988 0.022  
2453479.89  INDEF  INDEF  18.659 0.012  17.659 0.013  17.553 0.013  19.249 0.017  18.046 0.011  
2453480.91  INDEF  INDEF  18.740 0.018  17.725 0.013  17.622 0.024  19.220 0.115  18.107 0.028  
2453484.81  INDEF  INDEF  INDEF  INDEF  INDEF  INDEF  INDEF  INDEF  INDEF  INDEF  18.443 0.137  
2453487.87  INDEF  INDEF  19.255 0.078  18.053 0.027  17.817 0.030  19.840 0.133  18.619 0.044  
2453489.79  INDEF  INDEF  19.357 0.038  18.154 0.016  17.907 0.016  20.003 0.050  18.662 0.020  
2453490.82  INDEF  INDEF  19.412 0.018  18.212 0.011  17.953 0.014  20.136 0.036  18.703 0.014  
2453491.81  INDEF  INDEF  19.479 0.016  18.255 0.013  17.989 0.017  20.124 0.029  18.767 0.013  
2453512.83  INDEF  INDEF  19.991 0.077  19.055 0.028  18.743 0.028  20.684 0.198  19.474 0.060  
2005em 
2453644.73  18.696 0.023  18.080 0.010  17.878 0.018  17.965 0.016  18.230 0.017  17.951 0.020  
2453650.86  19.263 0.028  18.158 0.008  17.753 0.021  17.823 0.022  18.455 0.019  17.868 0.027  
2453655.80  20.121 0.040  18.553 0.011  17.891 0.018  17.911 0.016  18.925 0.020  18.156 0.021  
2453658.74  20.296 0.094  18.897 0.021  18.032 0.019  17.941 0.016  19.220 0.031  18.371 0.024  
2453659.72  20.573 0.189  18.940 0.030  18.046 0.022  17.976 0.018  19.398 0.063  18.426 0.030  
2453663.77  INDEF  INDEF  19.428 0.041  18.375 0.029  18.215 0.038  19.928 0.085  18.729 0.039  
2453665.79  21.261 0.150  19.561 0.026  18.523 0.025  18.330 0.024  20.218 0.067  18.974 0.039  
2453669.76  INDEF  INDEF  19.868 0.024  18.802 0.021  18.574 0.019  20.278 0.036  19.223 0.028  
2453671.86  INDEF  INDEF  19.994 0.025  18.945 0.023  18.692 0.025  INDEF  INDEF  INDEF  INDEF
2453684.76  INDEF  INDEF  20.621 0.029  19.561 0.025  19.316 0.027  21.074 0.071  19.993 0.035  
2453695.80  INDEF  INDEF  INDEF  INDEF  INDEF  INDEF  INDEF  INDEF  INDEF  INDEF  20.595 0.070  
2453707.79  INDEF  INDEF  21.992 0.136  21.135 0.084  20.833 0.137  INDEF  INDEF  21.599 0.160  
2453722.69  INDEF  INDEF  INDEF  INDEF  INDEF  INDEF  21.589 0.153  INDEF  INDEF  INDEF  INDEF
2453726.73  INDEF  INDEF  INDEF  INDEF  INDEF  INDEF  21.587 0.171  INDEF  INDEF  INDEF  INDEF
2453736.64  INDEF  INDEF  INDEF  INDEF  INDEF  INDEF  22.118 0.192  INDEF  INDEF  INDEF  INDEF
2006T 
2453767.72  INDEF  INDEF  18.287 0.010  17.539 0.008  17.628 0.010  18.775 0.019  17.896 0.012  
2453768.77  19.868 0.104  18.004 0.013  17.174 0.008  17.276 0.012  18.559 0.018  17.551 0.010  
2453771.72  18.828 0.033  17.071 0.010  16.398 0.009  16.493 0.011  17.521 0.014  16.650 0.009  
2453772.71  18.601 0.026  16.841 0.009  16.220 0.010  16.318 0.011  17.265 0.016  16.459 0.010  
2453773.67  18.301 0.022  16.637 0.008  16.061 0.006  16.144 0.006  17.042 0.012  16.273 0.008  
2453774.71  18.039 0.019  16.471 0.008  15.917 0.008  16.024 0.008  16.851 0.012  16.118 0.008  
2453775.56  17.894 0.020  16.330 0.006  15.795 0.005  15.901 0.007  16.706 0.011  15.998 0.006  
2453778.71  17.629 0.019  16.093 0.011  INDEF  INDEF  15.642 0.012  16.461 0.014  15.764 0.013  
2453781.72  17.760 0.025  16.086 0.008  15.487 0.008  15.527 0.007  16.504 0.012  15.708 0.008  
2453783.63  18.090 0.026  16.206 0.009  15.494 0.010  15.505 0.008  16.659 0.012  15.752 0.008  
2453784.72  18.308 0.025  16.316 0.010  15.528 0.010  15.523 0.011  16.793 0.013  15.808 0.009  
2453785.74  18.540 0.031  16.408 0.010  15.565 0.011  15.520 0.011  16.934 0.013  15.871 0.009  
2453786.77  18.677 0.028  16.498 0.011  15.612 0.012  15.546 0.012  17.041 0.014  15.946 0.013  
2453788.77  19.162 0.029  16.726 0.011  15.716 0.011  15.629 0.011  17.290 0.014  16.107 0.013  
2453790.62  19.523 0.032  16.918 0.007  15.848 0.006  15.717 0.006  17.547 0.015  16.280 0.008  
2453795.64  20.245 0.065  17.369 0.008  16.168 0.006  15.918 0.006  18.036 0.019  16.700 0.007  
2453798.68  20.516 0.063  17.559 0.013  16.330 0.009  16.036 0.009  18.263 0.016  16.879 0.010  
2453799.70  20.491 0.066  17.616 0.010  16.394 0.009  16.070 0.006  18.310 0.016  16.936 0.007  
2453801.65  20.635 0.064  17.706 0.013  16.492 0.012  16.152 0.011  18.408 0.019  17.045 0.011  
2453802.68  20.565 0.077  17.775 0.012  16.541 0.010  16.205 0.010  18.461 0.018  17.093 0.010  
2453805.63  INDEF  INDEF  17.872 0.015  16.676 0.009  16.339 0.010  18.528 0.021  17.253 0.010  
2453809.64  INDEF  INDEF  18.013 0.020  16.839 0.011  16.477 0.011  18.644 0.034  17.368 0.011  
2453815.60  INDEF  INDEF  18.116 0.014  16.998 0.011  16.656 0.011  18.741 0.019  17.509 0.012  
2453819.62  INDEF  INDEF  18.159 0.013  17.096 0.010  16.770 0.011  18.778 0.018  17.592 0.013  
2453824.64  INDEF  INDEF  18.216 0.014  17.211 0.012  16.876 0.009  18.777 0.019  17.663 0.011  
2453831.60  INDEF  INDEF  18.283 0.016  17.331 0.013  17.030 0.013  18.816 0.021  17.754 0.014  
2453835.55  INDEF  INDEF  18.302 0.013  17.393 0.009  17.110 0.009  18.799 0.024  17.804 0.013  
2453840.58  INDEF  INDEF  18.366 0.019  17.483 0.012  17.212 0.009  18.842 0.026  17.865 0.013  
2453845.54  INDEF  INDEF  18.395 0.016  17.562 0.013  17.304 0.012  18.884 0.020  17.913 0.011  
2453853.57  INDEF  INDEF  18.485 0.013  17.710 0.010  17.508 0.010  18.974 0.020  18.067 0.012  
2453866.53  INDEF  INDEF  18.622 0.020  17.932 0.014  17.758 0.012  19.142 0.035  18.285 0.017  
2453867.50  INDEF  INDEF  18.649 0.023  17.947 0.017  17.788 0.015  19.129 0.032  18.300 0.020  
2453870.55  INDEF  INDEF  18.705 0.022  18.005 0.015  17.858 0.014  19.207 0.041  18.319 0.017  
2453871.52  INDEF  INDEF  18.710 0.019  18.023 0.015  17.866 0.012  19.147 0.027  18.310 0.014  
2453872.51  INDEF  INDEF  18.725 0.020  18.037 0.017  17.884 0.016  19.217 0.026  18.359 0.018  
2453890.54  INDEF  INDEF  18.981 0.024  18.341 0.016  18.265 0.016  19.467 0.034  18.625 0.018  
2006ba
2453823.61  19.701 0.114  18.300 0.030  17.839 0.020  17.702 0.018  18.569 0.027  18.034 0.026  
2453824.62  20.067 0.146  18.333 0.022  17.820 0.015  17.665 0.013  18.649 0.036  18.017 0.021  
2453832.61  INDEF  INDEF  19.093 0.036  18.121 0.020  17.772 0.018  19.489 0.045  18.459 0.022  
2453833.59  INDEF  INDEF  19.164 0.030  18.194 0.016  17.837 0.017  19.673 0.063  18.543 0.024  
2453840.56  INDEF  INDEF  19.666 0.048  18.547 0.025  18.148 0.021  20.220 0.106  19.068 0.039  
2453846.60  INDEF  INDEF  20.139 0.085  18.952 0.027  18.447 0.024  20.517 0.076  19.494 0.034  
2453858.52  INDEF  INDEF  20.523 0.102  19.379 0.039  18.881 0.029  INDEF  INDEF  19.814 0.068  
2453862.51  INDEF  INDEF  20.584 0.086  19.400 0.036  18.948 0.033  20.887 0.161  19.936 0.068  
2453867.48  INDEF  INDEF  20.581 0.107  19.488 0.039  19.041 0.035  INDEF  INDEF  19.998 0.076  
2453870.52  INDEF  INDEF  20.657 0.142  19.573 0.051  19.147 0.042  INDEF  INDEF  20.012 0.076  
2453871.49  INDEF  INDEF  20.637 0.103  19.621 0.050  19.186 0.040  INDEF  INDEF  20.100 0.068  
2453872.49  INDEF  INDEF  INDEF  INDEF  19.661 0.054  19.192 0.037  INDEF  INDEF  20.116 0.070  
2453890.52  INDEF  INDEF  INDEF  INDEF  19.874 0.051  19.579 0.048  INDEF  INDEF  20.374 0.081  
2453891.47  INDEF  INDEF  INDEF  INDEF  19.923 0.061  19.587 0.055  INDEF  INDEF  20.430 0.101  
2006bf 
2453823.75  INDEF  INDEF  19.377 0.017  18.375 0.014  18.201 0.017  19.851 0.029  18.778 0.017  
2453824.81  INDEF  INDEF  19.480 0.019  18.442 0.013  18.301 0.016  20.076 0.052  18.882 0.025  
2453831.78  INDEF  INDEF  20.083 0.025  18.881 0.017  18.604 0.022  20.700 0.055  19.437 0.024  
2453833.73  INDEF  INDEF  20.153 0.039  19.021 0.018  18.698 0.021  INDEF  INDEF  19.550 0.032  
2453835.72  INDEF  INDEF  20.146 0.061  19.140 0.028  18.805 0.025  INDEF  INDEF  19.697 0.043  
2453840.71  INDEF  INDEF  20.507 0.098  19.369 0.034  19.033 0.033  INDEF  INDEF  19.872 0.078  
2453846.75  INDEF  INDEF  20.728 0.066  19.615 0.029  19.236 0.032  INDEF  INDEF  20.103 0.054  
2453850.72  INDEF  INDEF  20.698 0.042  19.733 0.026  19.489 0.035  INDEF  INDEF  20.258 0.046  
2453861.65  INDEF  INDEF  21.020 0.072  19.910 0.037  19.626 0.038  INDEF  INDEF  20.307 0.064  
2453862.62  INDEF  INDEF  20.963 0.075  20.036 0.041  19.690 0.045  INDEF  INDEF  20.529 0.074  
2453867.65  INDEF  INDEF  INDEF  INDEF  20.235 0.077  INDEF  INDEF  INDEF  INDEF  INDEF  INDEF  
2453870.68  INDEF  INDEF  INDEF  INDEF  20.221 0.073  19.929 0.078  INDEF  INDEF  INDEF  INDEF 
2453891.64  INDEF  INDEF  INDEF  INDEF  20.512 0.097  20.431 0.103  INDEF  INDEF  INDEF  INDEF
2006ep 
2453979.78  18.784 0.040  18.048 0.008  17.786 0.008  17.731 0.009  18.313 0.013  17.858 0.009  
2453981.74  18.603 0.042  17.833 0.010  17.539 0.008  17.484 0.009  18.085 0.015  17.617 0.010  
2453986.74  18.765 0.107  17.669 0.018  17.242 0.010  17.134 0.010  17.961 0.029  17.424 0.014  
2453991.73  19.342 0.020  17.847 0.016  INDEF  INDEF  17.041 0.011  18.276 0.026  17.466 0.014  
2453994.78  19.854 0.123  18.151 0.008  17.296 0.005  17.082 0.006  18.646 0.015  17.650 0.009  
2453998.72  INDEF  INDEF  18.563 0.012  17.528 0.006  17.238 0.007  19.188 0.024  17.958 0.009  
2454001.70  21.146 0.126  18.851 0.013  17.718 0.007  17.362 0.008  19.514 0.021  18.214 0.010  
2454003.73  21.300 0.120  19.017 0.013  17.868 0.009  17.499 0.009  19.675 0.022  18.371 0.011  
2454008.72  INDEF  INDEF  19.435 0.017  18.232 0.009  17.826 0.010  20.154 0.035  18.776 0.015  
2454014.67  INDEF  INDEF  19.852 0.101  18.596 0.033  18.151 0.024   INDEF INDEF  19.070 0.072  
2454029.66  INDEF  INDEF  20.188 0.028  19.017 0.016  18.548 0.017  20.843 0.045  19.587 0.025  
2454038.62  INDEF  INDEF  20.195 0.042  19.188 0.020  18.718 0.017  20.831 0.095  19.674 0.031  
2454048.65  INDEF  INDEF  20.454 0.075  19.366 0.034  18.918 0.033  21.062 0.126  19.865 0.056  
2454056.57  INDEF  INDEF  INDEF  INDEF  19.464 0.027  19.077 0.027  21.205 0.092  20.027 0.047  
2454068.58  INDEF  INDEF  20.575 0.084  19.599 0.034  19.160 0.030  INDEF  INDEF  20.023 0.068  
2454076.59  INDEF  INDEF  INDEF  INDEF  INDEF  INDEF  19.361 0.055  INDEF  INDEF  INDEF  INDEF
2006fo 
2454003.86  18.933 0.037  17.765 0.013  17.391 0.011  17.333 0.013  18.029 0.019  17.599 0.017  
2454008.84  19.500 0.037  17.920 0.012  17.329 0.010  17.233 0.011  18.226 0.019  17.641 0.016  
2454014.75  INDEF  INDEF  INDEF  INDEF  INDEF  INDEF  INDEF  INDEF  18.714 0.042  17.850 0.016  
2454025.81  INDEF  INDEF  19.086 0.020  17.938 0.013  17.607 0.013  19.623 0.037  18.546 0.026  
2454029.73  INDEF  INDEF  19.313 0.023  18.097 0.012  17.739 0.012  19.755 0.041  18.767 0.028  
2454038.74  INDEF  INDEF  19.638 0.028  18.357 0.016  18.010 0.015  20.080 0.043  18.977 0.031  
2454042.65  INDEF  INDEF  INDEF  INDEF  18.456 0.019  18.106 0.018  20.163 0.096  INDEF  INDEF
2454049.69  INDEF  INDEF  INDEF  INDEF  18.590 0.021  18.268 0.023  20.229 0.061  INDEF  INDEF
2454068.67  INDEF  INDEF  INDEF  INDEF  18.816 0.019  18.645 0.023  INDEF  INDEF  19.349 0.039  
2454076.65  INDEF  INDEF  INDEF  INDEF  18.966 0.026  18.809 0.031  INDEF  INDEF  19.423 0.059  
2454085.67  INDEF  INDEF 19.967 0.030  19.085 0.022  18.859 0.031   20.346 0.052  INDEF  INDEF 
2454092.64  INDEF  INDEF 20.066 0.032  19.176 0.027  19.055 0.028   20.397 0.061  INDEF  INDEF
2006ir 
2454017.66  20.159 0.130  18.267 0.016  17.275 0.013  17.091 0.015  18.747 0.031  17.722 0.021  
2454018.60  20.323 0.080  18.355 0.013  17.311 0.009  17.153 0.011  18.831 0.020  17.753 0.012  
2454020.66  INDEF  INDEF  INDEF  INDEF  17.398 0.009  17.220 0.009  INDEF  INDEF  17.880 0.012  
2454025.58  INDEF  INDEF  18.691 0.017  17.598 0.009  17.382 0.011  19.201 0.023  18.069 0.012  
2454028.60  INDEF  INDEF  18.817 0.018  17.727 0.010  17.493 0.011  19.269 0.024  18.190 0.012  
2454044.56  INDEF  INDEF  INDEF  INDEF  18.168 0.026  17.973 0.022  INDEF  INDEF  18.719 0.047  
2454046.55  INDEF  INDEF  19.122 0.017  18.151 0.012  17.970 0.014  19.660 0.043  18.618 0.020  
2454076.53  INDEF  INDEF  19.595 0.044  18.663 0.017  18.568 0.022  INDEF  INDEF  19.152 0.027  
2454085.54  INDEF  INDEF  19.604 0.031  18.799 0.015  18.753 0.025  20.080 0.035  19.128 0.018  
2006lc 
2454033.60  20.370 0.165  18.696 0.017  18.032 0.013  17.981 0.019  19.086 0.027  18.331 0.015  
2454036.56  19.956 0.079  18.298 0.011  17.647 0.011  17.613 0.010  18.727 0.018  17.756 0.040  
2454038.57  19.806 0.067  18.155 0.011  17.488 0.008  17.407 0.010  18.596 0.021  17.791 0.012  
2454048.60  20.950 0.116  18.513 0.011  17.470 0.008  INDEF  INDEF  19.058 0.021  17.949 0.011  
2454052.54  INDEF  INDEF  18.983 0.018  17.804 0.013  17.495 0.013  19.652 0.029  18.356 0.015  
2454066.53  INDEF  INDEF  19.921 0.044  18.674 0.017  18.258 0.017  20.562 0.072  19.261 0.042  
2454079.57  INDEF  INDEF  20.243 0.042  19.043 0.019  18.636 0.025  20.713 0.087  19.640 0.035  
2007C 
2454118.80  18.954 0.053  16.748 0.005  15.770 0.004  15.510 0.005  17.354 0.010  16.177 0.005  
2454119.78  19.131 0.074  16.811 0.006  15.774 0.004  15.496 0.005  17.427 0.011  16.220 0.007  
2454121.84  19.345 0.059  17.004 0.006  15.837 0.005  15.537 0.006  17.651 0.011  16.341 0.004  
2454123.85  19.729 0.060  17.229 0.009  15.939 0.009  15.618 0.008  17.919 0.013  16.519 0.009  
2454127.87  20.626 0.080  17.725 0.010  16.229 0.008  15.850 0.009  18.480 0.017  16.910 0.009  
2454128.88  INDEF  INDEF  17.831 0.010  16.305 0.007  15.906 0.011  18.594 0.018  16.993 0.008  
2454131.87  INDEF  INDEF  18.067 0.013  16.521 0.011  16.088 0.012  18.890 0.023  17.257 0.012  
2454133.87  INDEF  INDEF  18.220 0.015  16.638 0.009  16.192 0.009  19.012 0.039  17.387 0.011  
2454143.84  INDEF  INDEF  18.665 0.015  17.148 0.015  16.724 0.014  19.432 0.028  17.890 0.011  
2454153.82  INDEF  INDEF  INDEF  INDEF   INDEF INDEF  INDEF  INDEF  19.602 0.030  18.127 0.014  
2454158.83  INDEF  INDEF  18.928 0.019  17.537 0.012  17.100 0.013  19.630 0.035  18.193 0.016  
2454160.86  INDEF  INDEF  18.918 0.017  17.549 0.009  17.165 0.010  19.704 0.036  18.202 0.013  
2454161.75  INDEF  INDEF  18.934 0.025  17.594 0.010  17.177 0.010  19.698 0.054  18.252 0.019  
2454163.77  INDEF  INDEF  18.931 0.029  17.611 0.012  17.231 0.012  19.623 0.066  18.288 0.022  
2454169.78  INDEF  INDEF  19.022 0.022  17.742 0.011  17.356 0.013  19.697 0.046  18.399 0.016  
2454179.77  INDEF  INDEF  19.143 0.020  17.928 0.013  17.567 0.013  19.760 0.037  18.549 0.019  
2454185.76  INDEF  INDEF  19.212 0.020  18.046 0.013  17.663 0.014  19.828 0.035  18.672 0.016  
2454197.76  INDEF  INDEF  19.371 0.028  18.269 0.016  17.901 0.016  20.084 0.066  18.872 0.028  
2454204.82  INDEF  INDEF  INDEF  INDEF  18.412 0.016  18.037 0.016  20.041 0.053  18.992 0.022  
2454243.61  INDEF  INDEF  20.145 0.035  19.065 0.019  18.680 0.018  20.737 0.079  19.719 0.039  
2007Y 
2454153.52  INDEF  INDEF  INDEF  INDEF  INDEF  INDEF  INDEF  INDEF  16.701 0.013  16.394 0.009  
2454154.52  16.959 0.014  16.275 0.008  16.219 0.007  16.327 0.009  16.466 0.009  16.208 0.008  
2454155.53  INDEF  INDEF  INDEF  INDEF  16.078 0.010  16.176 0.011  16.261 0.015  16.059 0.012  
2454158.53  16.101 0.069  15.707 0.011  15.722 0.008  15.798 0.009  15.837 0.014  15.689 0.008  
2454159.53  15.959 0.015  15.608 0.008  15.640 0.006  15.709 0.007  15.758 0.013  15.596 0.008  
2454160.53  15.965 0.069  15.559 0.010  15.552 0.006  15.610 0.008  15.690 0.013  15.528 0.006  
2454161.52  15.846 0.028  15.506 0.008  15.488 0.006  15.547 0.006  15.675 0.009  15.475 0.006  
2454163.52  15.892 0.018  15.437 0.008  15.364 0.010  15.413 0.009  15.630 0.009  15.380 0.007  
2454165.52  16.166 0.021  15.473 0.008  15.301 0.006  15.322 0.008  15.692 0.011  15.337 0.008  
2454166.53  16.470 0.069  15.535 0.010  15.290 0.007  15.316 0.008  15.749 0.013  15.361 0.007  
2454169.52  17.320 0.018  15.803 0.008  15.372 0.007  15.372 0.009  16.145 0.014  15.537 0.009  
2454170.52  17.689 0.069  15.939 0.011  15.450 0.008  15.398 0.009  16.299 0.013  15.634 0.009  
2454171.51  INDEF  INDEF   INDEF INDEF  15.522 0.006  15.435 0.008  16.487 0.011  15.742 0.009  
2454174.51  18.807 0.048  16.452 0.008  15.732 0.007  15.559 0.009  16.916 0.013  16.049 0.008  
2454179.50  INDEF  INDEF  16.879 0.008  16.020 0.005  15.739 0.006  17.425 0.016  16.406 0.008  
2454185.51  INDEF  INDEF  17.169 0.008  16.255 0.006  15.975 0.007  17.764 0.016  16.677 0.008  
2454190.50  INDEF  INDEF  17.303 0.012  16.418 0.007  16.127 0.008  17.867 0.023  16.780 0.010  
2454194.49  INDEF  INDEF  17.398 0.013  16.525 0.007  16.227 0.008  17.913 0.028  16.888 0.009  
2454197.49  INDEF  INDEF  17.451 0.010  INDEF  INDEF  INDEF  INDEF  18.014 0.016  INDEF  INDEF
2454204.49  INDEF  INDEF  INDEF  INDEF  INDEF  INDEF  INDEF  INDEF  INDEF  INDEF  17.090 0.010  
2007ag 
2454169.66  INDEF  INDEF  18.770 0.020  17.984 0.012  17.944 0.016  19.216 0.031  18.311 0.019  
2454174.64  INDEF  INDEF  19.193 0.020  18.087 0.011  17.953 0.017  19.670 0.033  18.591 0.019  
2454179.64  INDEF  INDEF  19.555 0.023  18.307 0.014  18.065 0.017  20.290 0.051  18.929 0.023  
2454182.74  INDEF  INDEF  19.778 0.029  INDEF  INDEF  INDEF  INDEF  INDEF  INDEF  INDEF  INDEF
2454199.57  INDEF  INDEF  20.379 0.037  19.060 0.018  18.880 0.026  20.982 0.085  19.720 0.033  
2454246.49  INDEF  INDEF  INDEF  INDEF  19.803 0.088  19.689 0.081  INDEF  INDEF  INDEF  INDEF 
2007hn 
2454349.66  20.718 0.120  18.699 0.015  18.177 0.012  18.211 0.016  19.049 0.021  18.365 0.015  
2454354.64  20.780 0.118  18.694 0.014  18.058 0.012  18.111 0.015  19.173 0.020  18.277 0.013  
2454362.57  INDEF  INDEF  19.212 0.021  18.261 0.012  18.080 0.016  19.667 0.039  18.645 0.017  
2454363.57  INDEF  INDEF  19.215 0.020  18.289 0.012  18.166 0.016  19.791 0.044  18.701 0.020  
2454365.62  INDEF  INDEF  19.348 0.031  18.335 0.021  18.254 0.018  19.901 0.059  18.811 0.029  
2454368.60  INDEF  INDEF  19.686 0.074  18.507 0.032  18.278 0.027  20.063 0.191  19.063 0.066  
2454378.58  INDEF  INDEF  20.148 0.034  18.887 0.018  18.658 0.024  INDEF  INDEF  19.591 0.033  
2454382.59  INDEF  INDEF  20.372 0.028  19.018 0.014  18.729 0.018  INDEF  INDEF  19.712 0.025  
2454383.57  INDEF  INDEF  20.327 0.028  19.075 0.015  18.892 0.019  INDEF  INDEF  19.692 0.024  
2454392.53  INDEF  INDEF  20.436 0.035  19.267 0.017  19.018 0.019  INDEF  INDEF  19.820 0.031  
2454394.56  INDEF  INDEF  INDEF  INDEF  19.331 0.036  18.920 0.040  INDEF  INDEF  19.939 0.074  
2454400.52  INDEF  INDEF  20.611 0.058  19.412 0.026  19.183 0.027  INDEF  INDEF  20.004 0.055  
2454411.52  INDEF  INDEF  20.640 0.034  19.677 0.023  19.567 0.032  INDEF  INDEF  20.077 0.070  
2454418.55  INDEF  INDEF  20.851 0.039  19.811 0.025  19.580 0.032  INDEF  INDEF  20.231 0.031  
2454427.53  INDEF  INDEF  INDEF  INDEF  19.805 0.043  19.790 0.052  INDEF  INDEF  20.269 0.087  
2007kj 
2454376.60  18.546 0.033  17.984 0.011  17.818 0.011  17.927 0.019  18.169 0.015  17.869 0.012  
2454380.66  18.328 0.033  17.772 0.011  17.622 0.011  17.725 0.017  17.962 0.013  17.686 0.011  
2454382.66  18.420 0.034  17.784 0.010  17.574 0.009  17.637 0.014  17.988 0.013  17.681 0.009  
2454383.64  18.590 0.040  17.843 0.011  17.547 0.012  17.608 0.016  18.044 0.013  17.690 0.010  
2454385.66  18.958 0.038  17.999 0.012  17.561 0.011  17.608 0.016  INDEF  INDEF  17.779 0.011  
2454392.63  INDEF  INDEF  18.964 0.017  18.101 0.013  17.944 0.019  19.423 0.034  18.455 0.016  
2454394.64  INDEF  INDEF  19.142 0.025  18.251 0.015  18.057 0.019  19.692 0.047  18.607 0.019  
2454395.61  INDEF  INDEF  19.189 0.028  18.266 0.017  18.055 0.021  19.733 0.070  18.709 0.026  
2454400.62  INDEF  INDEF  19.444 0.077  18.576 0.032  18.382 0.027  20.108 0.186  18.881 0.047  
2454409.61  INDEF  INDEF  19.762 0.023  18.900 0.018  18.678 0.025  20.278 0.053  19.268 0.025  
2454417.60  INDEF  INDEF  19.857 0.026  19.116 0.021  18.938 0.027  20.366 0.053  19.410 0.029  
2454421.59  INDEF  INDEF  19.904 0.032  19.201 0.021  19.060 0.029  20.373 0.072  19.560 0.034  
2454423.58  INDEF  INDEF  19.935 0.049  19.190 0.029  19.079 0.034  20.529 0.111  19.468 0.040  
2007rz 
2454445.70  INDEF  INDEF  18.543 0.016  17.474 0.017  17.159 0.010  19.184 0.030  17.934 0.015  
2454447.69  INDEF  INDEF  18.816 0.017  INDEF  INDEF  17.241 0.011  19.510 0.031  18.165 0.016  
2454449.73  INDEF  INDEF  19.084 0.023  17.833 0.017  17.429 0.012  19.619 0.047  18.422 0.019  
2454453.67  INDEF  INDEF  19.452 0.030  18.170 0.014  17.722 0.012  20.090 0.077  18.837 0.029  
2454455.64  INDEF  INDEF  19.567 0.046  18.269 0.020  17.852 0.018  20.354 0.137  18.981 0.038  
2454456.69  INDEF  INDEF  19.765 0.075  18.393 0.027  17.912 0.022  20.100 0.125  19.104 0.051  
2454457.66  INDEF  INDEF  19.758 0.079  18.492 0.026  17.967 0.019  20.318 0.179  19.038 0.051  
2454458.62  INDEF  INDEF  INDEF  INDEF  18.505 0.024  18.086 0.018  20.428 0.153  19.125 0.040  
2454464.68  INDEF  INDEF  INDEF  INDEF  18.781 0.030  18.406 0.021  INDEF  INDEF  19.454 0.039  
2454469.62  INDEF  INDEF  20.198 0.047  INDEF  INDEF  18.592 0.020  20.706 0.074  19.628 0.041  
2454480.63  INDEF  INDEF  INDEF  INDEF  19.300 0.024  18.893 0.027  INDEF  INDEF  19.958 0.043  
2008aq 
2454527.82  17.359 0.021  16.225 0.012  15.930 0.013  16.102 0.013  16.470 0.012  16.045 0.016  
2454541.86  19.015 0.044  16.914 0.007  16.066 0.009  15.995 0.012  17.445 0.013  16.454 0.010  
2454542.70  19.172 0.039  17.016 0.009  16.147 0.009  16.036 0.010  17.544 0.013  16.475 0.015  
2454543.72  19.290 0.058  17.112 0.011  16.189 0.009  16.057 0.011  17.666 0.014  16.569 0.013  
2454545.78  INDEF  INDEF  17.292 0.008  16.331 0.008  16.178 0.010  17.931 0.016  16.770 0.011  
2454560.72  INDEF  INDEF  17.976 0.010  17.006 0.009  16.707 0.009  18.616 0.017  17.433 0.011  
2454566.81  INDEF  INDEF  18.070 0.010  17.169 0.010  16.872 0.011  18.683 0.018  17.531 0.016  
2454570.72  INDEF  INDEF  18.111 0.009  17.266 0.009  16.963 0.009  18.690 0.016  17.641 0.012  
2454578.77  INDEF  INDEF  18.154 0.016  17.513 0.009  17.146 0.011  18.691 0.037  INDEF  INDEF
2454583.66  INDEF  INDEF  18.224 0.009  17.552 0.008  17.231 0.009  18.745 0.018  17.823 0.012  
2454589.74  INDEF  INDEF  18.325 0.011  17.676 0.010  17.375 0.009  18.801 0.018  17.939 0.013  
2454597.71  INDEF  INDEF  18.422 0.010  17.850 0.010  17.543 0.011  18.908 0.018  18.099 0.014  
