NIR photometry of the local sequences in the standard system.
ID, alpha (2000), delta (2000), Y, Yerr, J, Jerr, H, Herr
------------------------------------------------------------------
2004ew
114  03:14:05.26  -00:10:02.4  17.586 0.058  17.171 0.066  16.485 0.117   
116  03:13:42.80  -00:12:41.7  17.847 0.076  17.398 0.034  16.711 0.132   
117  03:14:06.84  -00:10:39.4  17.895 0.015  17.497 0.028  16.839 0.145   
118  03:13:51.49  -00:13:18.9  17.751 0.125   INDEF INDEF   INDEF INDEF   
121  03:13:49.94  -00:14:24.5  16.159 0.038  15.770 0.042  15.036 0.048   
124  03:14:05.01  -00:16:57.3  17.939 0.149   INDEF INDEF   INDEF INDEF   
127  03:14:06.05  -00:13:43.4  15.674 0.029  15.429 0.024  15.106 0.043   
128  03:14:06.02  -00:14:56.1  15.784 0.012  15.459 0.026  14.943 0.061   
129  03:14:03.34  -00:15:39.6  15.112 0.014  14.768 0.013  14.223 0.025   
130  03:13:47.53  -00:16:32.0  13.472 0.017  13.227 0.016  12.854 0.012   
2006T 
101  09:54:40.39  -25:42:01.4  11.758 0.022  11.956 0.032   INDEF INDEF   
102  09:54:55.83  -25:43:56.5  12.566 0.027  12.330 0.043  12.068 0.029   
103  09:54:55.75  -25:39:19.6  14.223 0.024  13.826 0.043  13.152 0.027   
104  09:54:23.82  -25:45:02.6  14.543 0.029  14.276 0.052  13.896 0.033   
105  09:54:37.14  -25:45:36.6  14.571 0.026  14.258 0.050  13.866 0.024   
106  09:54:43.38  -25:39:01.9  14.750 0.035  14.456 0.033  14.054 0.032   
107  09:54:24.64  -25:37:47.7  14.854 0.035  14.638 0.024  14.312 0.038   
108  09:54:29.40  -25:47:02.8  14.951 0.028  14.687 0.082  14.399 0.032   
109  09:54:31.75  -25:44:21.2  15.352 0.026  14.883 0.031  14.227 0.034   
110  09:54:25.12  -25:38:47.8  15.280 0.033  14.969 0.032  14.486 0.067   
111  09:54:31.37  -25:43:34.3  15.867 0.019  15.522 0.029  14.917 0.059   
112  09:54:40.56  -25:45:27.6  15.842 0.042  15.361 0.057  14.701 0.034   
113  09:54:27.63  -25:47:10.4  15.848 0.053  15.404 0.048  14.767 0.048   
114  09:54:24.00  -25:39:18.7  15.718 0.046  15.493 0.077  15.150 0.039   
115  09:54:36.14  -25:46:50.6  16.028 0.048  15.616 0.040  15.004 0.046   
116  09:54:56.11  -25:41:30.7  16.226 0.060  15.961 0.092  15.680 0.072   
117  09:54:47.56  -25:42:14.8  16.456 0.083  16.017 0.097  15.412 0.087   
118  09:54:24.47  -25:44:08.7  16.572 0.075  16.162 0.097  15.752 0.117   
119  09:54:47.97  -25:38:56.1  16.823 0.078  16.299 0.147  15.702 0.068   
120  09:54:45.77  -25:45:18.5  16.800 0.043  16.371 0.127  15.679 0.085   
121  09:54:38.15  -25:42:25.3  16.767 0.090  16.422 0.036  15.931 0.106   
122  09:54:27.18  -25:39:30.4  16.908 0.118  16.532 0.138  15.870 0.119   
123  09:54:23.94  -25:40:39.2  16.915 0.112  16.554 0.107  15.839 0.079   
124  09:54:42.31  -25:41:38.8  16.957 0.125  16.493 0.121  15.918 0.151   
125  09:54:51.92  -25:39:02.4  17.003 0.083  16.461 0.091  15.838 0.141   
126  09:54:51.04  -25:44:40.4  14.030 0.017  13.750 0.028  13.412 0.031   
127  09:54:43.21  -25:42:23.4  13.453 0.024  13.209 0.044  12.872 0.025   
128  09:54:30.26  -25:43:10.8  17.061 0.125  16.743 0.077  16.195 0.147   
129  09:54:35.63  -25:42:18.6  16.433 0.053  16.170 0.039  15.833 0.117   
130  09:54:42.61  -25:42:48.2  15.171 0.045  14.823 0.050  14.309 0.036   
131  09:54:50.17  -25:42:13.2  15.613 0.047  15.280 0.061  14.826 0.045   
132  09:54:38.54  -25:41:02.9  16.032 0.034  15.651 0.045  15.154 0.055   
2006ba 
102  09:43:24.73  -09:38:56.0  15.271 0.060  14.866 0.048  14.238 0.027   
103  09:43:09.42  -09:37:57.8  15.950 0.032  15.429 0.046  14.887 0.070   
104  09:43:11.57  -09:35:45.5  16.224 0.041  15.756 0.049  15.082 0.051   
