54330.07	13.549	0.023
54330.2	13.602	0.025
54332.18	13.326	0.024
54332.2	13.348	0.023
54333.23	13.258	0.023
54334.13	13.291	0.025
54334.2	99	99
54335.24	13.345	0.025
54336.01	13.340	0.026
54336.1	99	99
54338.03	99	99
54338.1	99	99
54338.93	99	99
54339.1	99	99
54341.87	14.182	0.030
54342.02	99	99
54343.78	99	99
54346.77	14.890	0.150
54349.99	99	99
54350.17	15.280	0.026
54353.17	15.613	0.030
54354.84	15.918	0.026
54356.1	99	99
54357.02	99	99
54357.05	99	99
54357.1	99	99
54358.03	16.198	0.054
54358.07	16.125	0.024
54359.05	99	99
54359.95	16.275	0.041
54360.14	99	99
54361.94	16.413	0.045
54363.1	99	99
54363.95	16.456	0.051
54364.0	99	99
54365.14	16.258	0.023
54368.06	16.346	0.080
54369.93	16.467	0.100
54371.07	16.417	0.024
54373.1	16.337	0.032
54375.03	99	99
54381.01	99	99
54382.1	99	99
54382.06	99	99
54383.07	99	99
54384.07	99	99
54385.13	99	99
54389.05	99	99
54389.9	16.542	0.040
54392.1	99	99
54394.02	16.571	0.038
54396.02	99	99
54397.98	16.591	0.037
54402.08	16.690	0.043
54403.08	99	99
54406.2	16.662	0.042
54410.2	16.740	0.036
54417.08	99	99
54418.06	16.811	0.051
54425.13	99	99
54431.94	17.027	0.045
54439.01	99	99
54439.95	99	99
54440.03	17.094	0.040
54444.01	99	99
54444.04	17.203	0.060
54450.12	17.188	0.070
54459.99	99	99
54462.81	99	99
54462.89	17.327	0.060
54468.0	99	99
54471.9	99	99
54474.01	99	99
54478.9	17.808	0.055
54491.85	17.871	0.131
54493.86	99	99
54506.95	99	99
54707.47	99	99
54711.12	99	99
54739.99	99	99
