# filter | AB_offset : m_AB = m_natural + offset 
u -0.06 
g -0.02
r -0.01
i 0.00
B -0.13
V -0.02
#Swope RetroCam
Y_RC1 0.63
J_RC1 0.91
H_RC1 1.34
J_RC2 0.90
#dupont
Y_WIRC 0.64
J_WIRC 0.90
H_WIRC 1.34


