# B
56457.191	15.221	0.036
56458.204	15.319	0.038
56459.195	15.410	0.038
56460.188	15.448	0.046
56461.199	15.472	0.043
56463.214	15.342	0.038
56470.242	15.375	0.034
56471.224	15.396	0.031
56472.225	15.465	0.035
56473.248	15.540	0.039
56474.239	15.734	0.060
56476.241	15.925	0.043
56477.238	16.082	0.053
56479.233	16.335	0.039
56480.230	16.443	0.039
56481.218	16.591	0.044
56482.221	16.686	0.040
56483.218	16.759	0.051
56484.218	16.918	0.059
56485.213	16.924	0.047
56486.215	16.944	0.054
56487.216	16.996	0.055
56489.212	17.123	0.053
56490.212	17.070	0.062
56492.185	17.177	0.075
56493.210       17.411  0.085
56494.207       17.320  0.079
56497.190       17.302  0.089
56500.182       17.250  0.103
# V
56457.192	14.802	0.027
56458.205	14.923	0.033
56459.196	14.975	0.022
56460.189	14.936	0.025
56461.200	14.899	0.027
56463.215	14.761	0.021
56470.243	14.549	0.023
56471.225	14.577	0.023
56472.226	14.594	0.022
56473.249	14.644	0.026
56474.240	14.758	0.027
56476.242	14.937	0.023
56477.238	15.036	0.028
56479.234	15.220	0.027
56480.231	15.344	0.025
56481.218	15.428	0.023
56482.222	15.500	0.029
56483.219	15.547	0.026
56484.219	15.620	0.026
56485.215	15.702	0.028
56486.216	15.723	0.031
56487.217	15.807	0.030
56489.213	15.874	0.031
56490.213	15.910	0.031
56492.189	15.974	0.037
56493.211       16.051  0.049
56497.191       16.104  0.037
56500.182       16.168  0.038
# R
56457.192	14.495	0.024
56458.206	14.578	0.028
56459.197	14.625	0.018
56460.188	14.596	0.021
56461.201	14.530	0.022
56463.216	14.387	0.017
56470.244	14.125	0.018
56471.226	14.149	0.018
56472.227	14.166	0.019
56473.250	14.200	0.023
56474.241	14.293	0.024
56476.243	14.385	0.025
56477.239	14.470	0.017
56479.235	14.579	0.025
56480.231	14.679	0.020
56481.219	14.747	0.018
56482.223	14.795	0.020
56483.220	14.840	0.016
56484.219	14.912	0.020
56485.216	14.949	0.018
56486.217	14.987	0.025
56487.217	15.051	0.019
56489.214	15.109	0.025
56490.212	15.133	0.023
56492.189	15.190	0.036
56493.212       15.259  0.024
56494.206       15.319  0.025
56497.192       15.318  0.024
56500.183       15.426  0.022
# I
56457.193	14.376	0.021
56458.203	14.437	0.024
56460.189	14.453	0.021
56461.202	14.445	0.021
56463.217	14.313	0.017
56470.245	14.096	0.021
56471.227	14.088	0.015
56472.228	14.084	0.016
56473.250	14.125	0.017
56474.242	14.185	0.021
56476.244	14.241	0.027
56477.240	14.315	0.018
56479.233	14.420	0.022
56480.232	14.515	0.019
56481.220	14.566	0.021
56482.224	14.617	0.019
56483.221	14.645	0.015
56484.220	14.715	0.021
56485.217	14.751	0.021
56486.218	14.773	0.028
56487.216	14.816	0.015
56489.215	14.876	0.024
56490.213	14.899	0.019
56492.190	14.959	0.034
56494.207       15.019  0.023
56497.193       15.033  0.028
56500.184       15.137  0.020
