# DATE MJD R I z y J H
20130615 56458.5 14.80 0.04 14.84 0.04 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99
20130616 56459.5 14.82 0.02 14.87 0.02 14.83 0.02 14.99 0.02 14.19 0.05 13.97 0.05
20130617 56460.5 14.75 0.02 14.84 0.02 14.84 0.02 14.99 0.02 14.19 0.05 14.01 0.05
20130621 56464.5 14.52 0.02 14.63 0.02 14.63 0.02 14.62 0.02 14.00 0.05 13.86 0.05
20130624 56467.5 14.38 0.02 14.50 0.02 14.40 0.02 14.72 0.04 13.93 0.05 13.85 0.05
20130702 56475.5 14.51 0.02 14.53 0.02 14.52 0.02 14.73 0.02 13.92 0.05 13.79 0.05
20130703 56476.5 14.56 0.02 14.58 0.02 14.58 0.02 14.58 0.02 13.94 0.05 13.80 0.05
20130706 56479.5 14.81 0.02 14.79 0.02 14.71 0.02 14.89 0.02 14.07 0.05 13.91 0.05
20130710 56483.5 15.06 0.02 15.02 0.02 14.92 0.03 00.00 0.02 14.24 0.05 14.07 0.05
20130715 56488.5 15.31 0.02 15.25 0.02 14.93 0.03 15.26 0.02 14.46 0.05 14.26 0.05
20130718 56491.5 15.43 0.02 15.33 0.02 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99
20130724 56497.5 99.99 9.99 15.45 0.02 15.15 0.03 15.36 0.02 14.77 0.07 14.51 0.08
20130728 56498.5 15.71 0.02 15.56 0.02 15.17 0.03 99.99 9.99 99.99 9.99 99.99 9.99
20130802 56506.5 15.82 0.02 15.66 0.02 15.25 0.03 15.70 0.02 15.01 0.07 14.68 0.08
20130806 56510.5 15.89 0.02 15.70 0.02 15.27 0.03 15.79 0.02 15.07 0.07 14.74 0.08
20130812 56516.5 16.01 0.02 15.78 0.02 15.34 0.03 15.89 0.01 15.24 0.07 14.84 0.08
