## SN 	 z 	 E_B_V_total 	 d [Mpc] 	 t_0 
## SN2009ca 	 0.0956 	 0.03 	 417.5 	 54915.36 
###############J#######################
# t-t_0 	 Lbol [erg/s] 	 log(Lbol) 	 M_ni
22.030000000129803 	 0.0 	 -inf 	 0.0
22.030000000129803 	 0.0 	 -inf 	 0.0
#t_peak = 22.030000000129803
#L_peak = 0.0
#M_ni = 0.0
