#MJD    B     V     R     I     g     r     i    Telescope
57744.08     19.83  0.01       19.66  0.01       19.39  0.01       18.89  0.00       99	99       99	99       99	99      VLT 
57746.08     20.04  0.01       19.84  0.01       19.74  0.01       19.33  0.01       99	99       99	99       99	99      VLT 
57748.12     20.24  0.01       19.82  0.01       19.73  0.01       19.48  0.01       99	99       99	99       99	99      VLT 
57749.03     20.21  0.03     19.65  0.10     19.53 0.02     19.35 0.05   99	99   99	99   99	99  TNG
57749.99     20.18  0.13       19.8  0.2       99	99       99	99       19.81  0.05       19.63  0.07       19.80  0.03      LT 
57750.00     99	99       19.8  0.2       99	99       99	99       19.80  0.05       19.63  0.07       19.80  0.03      LT 
57751.09     20.46  0.01       19.79  0.01       19.64  0.01       19.44  0.01       99	99       99	99       99	99      VLT 
57751.98     99	99       19.63  0.05       99	99       99	99       19.92  0.05       19.54  0.09       19.76  0.08      LT 
57751.99     99	99       19.63  0.05       99	99       99	99       19.92  0.05       19.54  0.09       19.75  0.08      LT 
57753.99   20.52 0.21   19.77 0.06   19.43 0.06   19.35 0.12   99	99   99	99   99	99  TNG
57754.28     20.57  0.01       19.82  0.01       19.53  0.01       19.40  0.01       99	99       99	99       99	99      VLT 
57756.36     20.87  0.01       20.17  0.03       19.64  0.03       19.44  0.04       99	99       99	99       99	99      Keck 
57757.00     20.60  0.09       20.2  0.1       99	99       99	99       20.28  0.03       19.64  0.03       19.76  0.02      LT 
57757.01     20.60  0.09       20.2  0.1       99	99       99	99       20.28  0.03       19.64  0.03       19.76  0.02      LT 
57757.98     20.90  0.06       20.03  0.03       99	99       99	99       20.39  0.04       19.77  0.07       19.76  0.05      LT 
57757.98     20.90  0.06       20.03  0.03       99	99       99	99       20.38  0.04       19.75  0.08       19.75  0.05      LT 
57758.04     20.92  0.02       19.96  0.01       19.58  0.01       19.41  0.01       99	99       99	99       99	99      VLT 
57758.96     99	99       99	99       99	99       99	99       20.44  0.08       19.669  0.08       19.59  0.06      LT 
57760.06     21.18  0.02       20.12  0.01       19.66  0.01       19.47  0.01       99	99       99	99       99	99      VLT 
57763.26     21.58  0.06       20.33  0.02       19.73  0.01       19.47  0.01       99	99       99	99       99	99      VLT 
57767.17     99	99       20.51  0.03       19.97  0.02       19.61  0.02       99	99       99	99       99	99      VLT 
57769.98     99	99       99	99       99	99       99	99       99	99       20.35  0.05       20.05  0.02      LT 
57770.91     99	99       99	99       99	99       99	99       99	99       20.33  0.04       20.11  0.02      LT 
57772.04     21.98  0.01       20.93  0.01       20.25  0.01       19.82  0.01       99	99       99	99       99	99      VLT 
57772.91     99	99       99	99       99	99       99	99       99	99       20.50  0.042       20.22  0.02      LT 
57778.88     99	99       99	99       99	99       99	99       99	99       20.52  0.07       20.27  0.03      LT 
57779.22     22.17  0.02       21.23  0.02       20.56  0.01       20.08  0.01       99	99       99	99       99	99      VLT 
57779.92     99	99       99	99       99	99       99	99       99	99       20.73  0.03       20.45  0.03      LT 
57836.04 22.64  0.03   99	99  21.24  0.01  99	99   99	99   99	99   99	99  VLT 
