SN2004gq 0.050552856807309005 0.0429241732042 0.04877875430796882
SN2004gv 0.11654891120730095 0.0901570464452 nan
SN2005hg 0.10614141421996341 0.0840363486863 0.07113417840824908
SN2006ep 0.04287863076664889 0.0355497869729 nan
SN2006fo 0.19687814894787684 0.150524130715 nan
SN2006lc 0.11919941099912634 0.0908405205008 nan
SN2007C 0.06670520948061835 0.0518306905253 0.03008891264149943
SN2007kj 0.055248446795219404 0.0438807884226 0.031071635778148542
SN2007uy 0.20810432426848996 0.164449708412 0.10249691868019135
SN2007Y 0.027364840655076612 0.0214835073039 nan
SN2008D 0.08135332709370903 0.0636624548947 0.04275524058279478
SN2009iz 0.1022198071838574 0.0772357565822 0.0693276831434976
SN2009jf 0.17255483760692572 0.133743878964 0.1087911923705118

