#IIb Peak	Khatami Tail
SN2004gq 0.04875512808198574 0.0410867999048 0.049729757705568756
SN2004gv 0.11754377594398392 0.0908673948174 nan
SN2005hg 0.10618898228349556 0.0840740102005 0.07636980915256344
SN2006ep 0.04287863076664889 0.0355497869729 nan
SN2006fo 0.12845833622927408 0.097984293099 nan
SN2006lc 0.11738719603958464 0.089459452014 nan
SN2007C 0.028450570473306545 0.0219983813893 0.013248044766381936
SN2007kj 0.05412178015062646 0.0431787202838 0.031071635778148542
SN2007uy 0.059863289433372976 0.0465433846023 0.030401656629849633
SN2007Y 0.027364840655076612 0.0214835073039 nan
SN2008D 0.027121339034420162 0.0210253787827 0.014952515591488958
SN2009iz 0.10222736550661152 0.0772404290871 0.07055968746183312
SN2009jf 0.1557591023101217 0.12057989162 0.09871187097600938
SN2010O 0.03492393224723869 0.0275664168045 nan
