SN1993J 0.10550192082548349 0.0818531287248 0.045462213515116076
SN2004ex 0.07736520579081765 0.0605239623963 0.04763824823802069
SN2004ff 0.08261871413621455 0.067910839908 nan
SN2006ba 0.08021295016602374 0.0626380915892 nan
SN2006T 0.1472332041045158 0.113181239152 0.060268423126383745
SN2008aq 0.03660987709936349 0.0285734809976 0.019321533032704223
SN2008ax 0.04920398859922299 0.0380426460395 0.022755176846416036
SN2009K 0.14664557064072736 0.111260340665 nan
SN2010as 0.15367487325885365 0.123267964036 0.08849120253667588
SN2011fu 0.14371302981507877 0.111220578359 nan
SN2011dh 0.06285263298837526 0.0493174405046 0.03917427135833756
SN2011hs 0.04133898055453057 0.0332833003767 nan
SN2013df 0.10178821072015419 0.0787645398005 0.05718019539193465
SN2017czd 0.02566997836489366 0.0213006490773 nan

