#IIb Peak	Khatami Tail
SN2005aw 0.06393202427185234 0.0544331584564 nan
SN2005ek 0.04527833535001279 0.0377663014262 nan
SN2005em 0.06046508233130395 0.0508463806318 nan
SN2005kl 0.03448192188853679 0.0274042601206 0.02482949663349154
SN2005mf 0.04908987507243163 0.0428125450901 nan
SN2007gr 0.047640119467453085 0.0399504531166 0.027683584503083555
SN2008hh 0.05763655788067588 0.0498643388064 nan
SN2009bb 0.06637284879297341 0.0548903507874 0.029276705624771887
SN2016coi 0.10912726416942568 0.0858652244344 0.08155131519573285

