2454362.59	17.742	0.016	17.324	0.014	17.250	0.054
2454362.60	17.649	0.021	17.309	0.015	---	---
2454364.59	17.762	0.011	17.284	0.041	---	---
2454364.60	17.731	0.012	17.309	0.041	---	---
2454365.58	17.762	0.011	17.369	0.011	17.317	0.024
2454365.59	17.788	0.011	17.352	0.010	17.206	0.022
2454367.61	17.703	0.023	17.381	0.023	---	---
2454367.61	17.790	0.025	---	---	---	---
2454426.50	19.302	0.059	---	---	---	---
2454434.54	19.630	0.042	---	---	---	---
