2453358.79	---	---	---	---	14.507	0.013
2453362.72	14.625	0.019	14.564	0.021	14.342	0.016
2453362.72	14.639	0.019	14.572	0.021	14.342	0.015
2453363.70	14.601	0.019	14.551	0.020	14.368	0.015
2453363.69	14.596	0.019	---	---	---	---
2453366.74	14.559	0.019	---	---	---	---
2453366.75	14.573	0.021	---	---	---	---
2453374.68	14.688	0.020	14.522	0.019	14.387	0.018
2453374.69	14.678	0.019	---	---	14.387	0.017
2453385.71	14.967	0.021	---	---	14.714	0.015
2453385.70	---	---	---	---	14.674	0.014
2453388.69	15.099	0.021	15.194	0.023	14.777	0.015
2453388.70	15.087	0.023	15.215	0.021	14.791	0.016
2453404.64	15.453	0.021	15.681	0.021	15.142	0.016
2453404.63	---	---	15.687	0.022	15.130	0.015
