2454945.65	20.725	0.133	18.634	0.044	---	---	17.003	0.032	19.465	0.046	17.803	0.024
2454949.57	20.944	0.165	18.810	0.050	---	---	17.010	0.023	19.617	0.043	17.991	0.017
2454952.50	21.073	0.156	18.916	0.042	17.470	0.045	17.149	0.021	---	---	---	---
2454953.46	---	---	---	---	---	---	---	---	19.671	0.045	18.106	0.028
