2453358.60	17.534	0.022	17.300	0.019	17.273	0.031
2453358.61	17.506	0.024	17.366	0.033	17.270	0.027
2453363.65	17.069	0.021	16.853	0.017	16.852	0.042
2453363.66	17.042	0.022	16.920	0.030	16.758	0.032
2453366.62	16.914	0.021	16.696	0.017	16.600	0.024
2453366.62	16.855	0.022	16.696	0.032	16.572	0.021
2453374.63	16.859	0.021	16.628	0.029	16.367	0.026
2453374.63	16.860	0.022	16.612	0.029	---	---
2453375.60	16.880	0.021	16.608	0.029	16.421	0.022
2453375.61	16.866	0.022	16.609	0.029	16.424	0.023
2453386.54	17.114	0.020	16.832	0.020	16.560	0.023
2453386.55	17.117	0.020	16.847	0.017	16.633	0.036
