2454016.64	16.615	0.026	16.328	0.036	16.231	0.025
2454016.65	16.594	0.027	---	---	16.233	0.025
2454040.56	17.234	0.028	17.065	0.041	16.752	0.027
2454040.56	17.212	0.035	17.001	0.033	16.797	0.029
