2453773.80	15.812	0.022	15.611	0.036	15.549	0.068
2453773.81	15.788	0.022	15.631	0.034	15.468	0.072
2453784.71	15.114	0.019	15.025	0.021	14.936	0.072
2453784.72	15.178	0.021	15.015	0.032	14.878	0.048
2453786.72	15.110	0.025	15.054	0.022	14.907	0.076
2453786.72	15.207	0.021	15.018	0.036	14.874	0.048
2453787.70	15.180	0.020	15.003	0.027	14.804	0.069
2453787.71	15.109	0.024	14.999	0.030	14.818	0.064
2453832.60	16.391	0.028	16.454	0.024	15.993	0.046
2453832.61	16.395	0.030	16.506	0.025	15.974	0.046
2453843.60	16.642	0.026	16.848	0.022	16.179	0.102
2453843.61	16.663	0.021	16.770	0.057	16.286	0.048
2453846.57	16.727	0.029	16.955	0.025	16.379	0.047
2453846.58	16.712	0.030	16.957	0.025	16.344	0.047
