54117.45075	17.872	0.022
54126.41521	18.142	0.028
54128.37483	18.181	0.032
54129.47127	18.331	0.037
54134.40138	18.531	0.062
54139.35075	18.645	0.073
54141.30473	18.951	0.146
54148.32030	19.310	0.057
54150.39882	19.326	0.068
54152.37654	19.299	0.065
54153.31420	19.285	0.066
54153.35082	19.272	0.071
54155.39656	19.298	0.058
54158.33392	19.516	0.097
54160.31651	19.361	0.164
54161.33703	19.625	0.226
54168.39170	19.748	0.141
54169.34346	19.685	0.128
54170.23461	19.614	0.098
54188.20071	19.504	0.191
