#   t     JD            B       err       V       err     R          err     I          err      
2.344100 2454477.41     99       99      18.256   0.029   17.789     0.009   17.290     0.016    Jan11
17.42560 2454492.50     99       99      17.224   0.033   16.660     0.024   16.058     0.014    Jan26
18.41310 2454493.48     99       99      17.249   0.028   16.659     0.030   16.017     0.030    Jan27
25.28450 2454500.36     18.827   0.032   17.476   0.024   16.735     0.038   16.070     0.021    Feb03
26.3909  2454501.45     99       99      17.440   0.023   16.739     0.018   16.172     0.086    Feb04
30.3328  2454505.40     19.279   0.073   17.606   0.031   16.922     0.028   16.277     0.068    Feb08
31.3872  2454506.45     19.302   0.034   17.721   0.038   16.947     0.019   16.200     0.041    Feb09
31.9925  2454507.47     19.405   0.063   17.729   0.023   16.991     0.015   16.259     0.060    Feb10
34.418   2454509.48     19.625   0.042   17.943   0.023   17.139     0.019   16.390     0.029    Feb12
35.3187  2454510.38     19.675   0.035   17.980   0.018   17.196     0.034   16.357     0.031    Feb13
