  67.20   23.4460 
  73.10   23.6318 
  73.20   23.5928 
  76.10   23.6716 
  77.10   23.6829 
  78.20   23.7110 
  80.20   23.7415 
  82.20   23.7361 
  83.20   23.7639 
  88.10   23.8732 
  89.10   23.9305 
  90.10   23.9443 
  91.10   23.9021 
  91.10   23.9580 
  93.10   24.0004 
  94.10   23.9974 
  95.10   24.0209 
  96.10   24.0134 
  97.10   23.9956 
  98.10   24.0508 
  99.10   24.0540 
 100.10   24.0947 
 105.10   24.1405 
 108.10   24.2850 
 109.10   24.2699 
 110.10   24.3140 
 111.10   24.3094 
 112.10   24.3297 
