#Modelname texp[d] Lbol Luvoir then U B V R I J H K @ 10pc
#           luc365A_trimmed_mixed1000_2    2.36  2.4744e+41  1.9819e+41  -14.749  -14.684  -15.026  -15.101  -14.928  -15.194  -15.214  -15.352
#           luc365A_trimmed_mixed1000_3    2.60  2.2360e+41  1.7370e+41  -14.401  -14.437  -14.944  -15.078  -14.885  -15.223  -15.245  -15.391
#           luc365A_trimmed_mixed1000_4    2.86  2.1129e+41  1.5993e+41  -14.071  -14.233  -14.904  -15.088  -14.917  -15.266  -15.288  -15.444
           luc365A_trimmed_mixed1000_36   60.60  5.5933e+41  4.1154e+41  -14.450  -15.004  -15.780  -16.064  -16.645  -16.281  -16.657  -16.667
            luc365A_trimmed_mixed1000_37   66.66  4.9197e+41  3.7275e+41  -14.591  -14.955  -15.658  -15.883  -16.489  -16.052  -16.436  -16.431
           luc365A_trimmed_mixed1000_38   73.33  4.3649e+41  3.3799e+41  -14.615  -14.878  -15.536  -15.730  -16.355  -15.830  -16.251  -16.208
            luc365A_trimmed_mixed1000_39   80.66  3.7750e+41  2.9754e+41  -14.589  -14.773  -15.385  -15.544  -16.190  -15.577  -16.026  -15.954
           luc365A_trimmed_mixed1000_40   88.73  3.2006e+41  2.5527e+41  -14.509  -14.643  -15.207  -15.337  -16.003  -15.325  -15.788  -15.670
            luc365A_trimmed_mixed1000_41   97.60  2.6732e+41  2.1444e+41  -14.387  -14.485  -15.008  -15.113  -15.801  -15.096  -15.547  -15.360
           luc365A_trimmed_mixed1000_42  107.40  2.1874e+41  1.7525e+41  -14.219  -14.288  -14.774  -14.865  -15.581  -14.892  -15.304  -15.016
            luc365A_trimmed_mixed1000_43  118.10  1.7794e+41  1.4232e+41  -14.016  -14.072  -14.532  -14.617  -15.373  -14.704  -15.073  -14.641
           luc365A_trimmed_mixed1000_44  129.90  1.3964e+41  1.1025e+41  -13.726  -13.773  -14.232  -14.340  -15.138  -14.532  -14.845  -14.226
            luc365A_trimmed_mixed1000_45  142.90  1.0874e+41  8.4735e+40  -13.399  -13.455  -13.924  -14.063  -14.909  -14.353  -14.628  -13.799
           luc365A_trimmed_mixed1000_46  157.20  8.3721e+40  6.4431e+40  -12.968  -13.065  -13.630  -13.814  -14.688  -14.218  -14.393  -13.166
            luc365A_trimmed_mixed1000_47  172.90  6.3082e+40  4.7824e+40  -12.543  -12.682  -13.279  -13.519  -14.436  -13.965  -14.119  -12.750
           luc365A_trimmed_mixed1000_48  190.20  4.6872e+40  3.5158e+40  -12.090  -12.303  -12.912  -13.214  -14.162  -13.648  -13.781  -12.366
