#Modelname texp[d] Lbol Luvoir then U B V R I J H K @ 10pc
#               luc464B_1e4s_mixed1000_1    2.13  3.2943e+41  2.5847e+41  -15.206  -14.930  -15.114  -15.328  -15.308  -15.465  -15.530  -15.634
#               luc464B_1e4s_mixed1000_2    2.35  2.8739e+41  2.1821e+41  -14.806  -14.684  -14.994  -15.259  -15.234  -15.484  -15.567  -15.714
#               luc464B_1e4s_mixed1000_3    2.59  2.5661e+41  1.8922e+41  -14.393  -14.468  -14.899  -15.199  -15.172  -15.495  -15.580  -15.747
                             he464Bx1_35   54.95  7.2115e+41  5.5017e+41  -14.819  -15.289  -16.136  -16.335  -16.943  -16.397  -16.871  -16.636
                             he464Bx1_36   60.45  6.3953e+41  4.9924e+41  -14.853  -15.248  -16.033  -16.186  -16.783  -16.122  -16.652  -16.413
                             he464Bx1_37   66.50  5.6272e+41  4.4647e+41  -14.854  -15.185  -15.915  -16.025  -16.608  -15.850  -16.429  -16.180
                             he464Bx1_38   73.20  4.8744e+41  3.9087e+41  -14.815  -15.094  -15.775  -15.844  -16.412  -15.588  -16.199  -15.928
                             he464Bx1_39   80.50  4.1474e+41  3.3448e+41  -14.732  -14.971  -15.609  -15.639  -16.200  -15.342  -15.964  -15.651
                             he464Bx1_40   88.55  3.4678e+41  2.7968e+41  -14.610  -14.817  -15.415  -15.406  -15.973  -15.112  -15.722  -15.343
                             he464Bx1_41   97.41  2.8449e+41  2.2897e+41  -14.444  -14.634  -15.197  -15.150  -15.739  -14.897  -15.481  -14.999
                             he464Bx1_42  107.20  2.3068e+41  1.8446e+41  -14.249  -14.426  -14.958  -14.877  -15.499  -14.695  -15.245  -14.632
                             he464Bx1_43  117.90  1.8386e+41  1.4586e+41  -14.006  -14.189  -14.698  -14.594  -15.252  -14.500  -15.018  -14.249
                             he464Bx1_44  129.70  1.4358e+41  1.1279e+41  -13.712  -13.920  -14.411  -14.305  -14.988  -14.311  -14.795  -13.857
                             he464Bx1_45  142.70  1.1105e+41  8.6051e+40  -13.379  -13.622  -14.104  -14.022  -14.727  -14.115  -14.568  -13.451
                             he464Bx1_46  157.00  8.4327e+40  6.4761e+40  -13.000  -13.292  -13.767  -13.751  -14.469  -13.890  -14.320  -13.063
                             he464Bx1_47  172.70  6.3103e+40  4.8228e+40  -12.572  -12.938  -13.404  -13.490  -14.215  -13.608  -14.025  -12.692
                             he464Bx1_48  190.00  4.6362e+40  3.5496e+40  -12.102  -12.561  -13.012  -13.231  -13.959  -13.251  -13.660  -12.327
