2454886.84	16.974	0.020	16.718	0.017	16.591	0.035
2454886.85	16.956	0.020	16.686	0.016	16.669	0.041
2454887.88	17.025	0.017	16.707	0.017	---	---
2454887.89	17.023	0.017	16.737	0.020	---	---
2454890.84	17.098	0.022	16.799	0.018	16.755	0.032
2454890.85	17.126	0.024	16.773	0.018	16.700	0.035
2454894.79	17.224	0.023	16.886	0.023	16.686	0.045
2454894.80	17.236	0.024	16.921	0.020	16.771	0.059
2454899.85	17.425	0.023	17.151	0.027	17.038	0.051
2454899.86	17.440	0.022	17.115	0.021	17.076	0.059
2454907.92	17.709	0.028	17.398	0.056	17.408	0.087
2454907.93	17.738	0.027	17.532	0.058	17.358	0.099
2454912.93	17.920	0.024	17.670	0.041	17.524	0.083
2454912.94	17.869	0.032	17.622	0.034	17.384	0.080
