2454919.67	15.363	0.015	15.201	0.015	15.006	0.017
2454919.67	15.345	0.015	15.189	0.012	---	---
2454921.70	15.205	0.008	15.039	0.008	14.876	0.011
2454921.71	15.193	0.010	15.057	0.012	14.852	0.012
2454929.63	15.003	0.010	14.789	0.009	14.670	0.012
2454929.63	15.013	0.015	14.861	0.010	---	---
2454932.66	15.035	0.009	14.872	0.011	14.789	0.011
2454932.66	15.064	0.012	14.918	0.014	---	---
2454939.69	15.367	0.011	15.183	0.010	15.079	0.015
2454939.68	15.366	0.010	15.210	0.008	---	---
2454945.66	15.836	0.018	15.625	0.014	15.458	0.019
2454945.66	15.754	0.016	15.635	0.013	---	---
2454948.63	15.965	0.019	15.810	0.017	15.656	0.022
2454948.63	15.930	0.016	15.809	0.013	---	---
2454949.63	15.967	0.016	15.974	0.018	15.661	0.027
2454949.63	16.054	0.018	15.902	0.013	---	---
2454975.62	17.035	0.021	17.166	0.030	16.604	0.061
2454975.62	17.067	0.028	17.246	0.034	---	---
