2454118.80	18.954	0.053	16.748	0.005	15.770	0.004	15.510	0.005	17.354	0.010	16.177	0.005
2454119.78	19.131	0.074	16.811	0.006	15.774	0.004	15.496	0.005	17.427	0.011	16.220	0.007
2454121.84	19.345	0.059	17.004	0.006	15.837	0.005	15.537	0.006	17.651	0.011	16.341	0.004
2454123.85	19.729	0.060	17.229	0.009	15.939	0.009	15.618	0.008	17.919	0.013	16.519	0.009
2454127.87	20.626	0.080	17.725	0.010	16.229	0.008	15.850	0.009	18.480	0.017	16.910	0.009
2454128.88	---	---	17.831	0.010	16.305	0.007	15.906	0.011	18.594	0.018	16.993	0.008
2454131.87	---	---	18.067	0.013	16.521	0.011	16.088	0.012	18.890	0.023	17.257	0.012
2454133.87	---	---	18.220	0.015	16.638	0.009	16.192	0.009	19.012	0.039	17.387	0.011
2454143.84	---	---	18.665	0.015	17.148	0.015	16.724	0.014	19.432	0.028	17.890	0.011
2454153.82	---	---	---	---	---	---	---	---	19.602	0.030	18.127	0.014
2454158.83	---	---	18.928	0.019	17.537	0.012	17.100	0.013	19.630	0.035	18.193	0.016
2454160.86	---	---	18.918	0.017	17.549	0.009	17.165	0.010	19.704	0.036	18.202	0.013
2454161.75	---	---	18.934	0.025	17.594	0.010	17.177	0.010	19.698	0.054	18.252	0.019
2454163.77	---	---	18.931	0.029	17.611	0.012	17.231	0.012	19.623	0.066	18.288	0.022
2454169.78	---	---	19.022	0.022	17.742	0.011	17.356	0.013	19.697	0.046	18.399	0.016
2454179.77	---	---	19.143	0.020	17.928	0.013	17.567	0.013	19.760	0.037	18.549	0.019
2454185.76	---	---	19.212	0.020	18.046	0.013	17.663	0.014	19.828	0.035	18.672	0.016
2454197.76	---	---	19.371	0.028	18.269	0.016	17.901	0.016	20.084	0.066	18.872	0.028
2454204.82	---	---	---	---	18.412	0.016	18.037	0.016	20.041	0.053	18.992	0.022
2454243.61	---	---	20.145	0.035	19.065	0.019	18.680	0.018	20.737	0.079	19.719	0.039
