2454349.66	20.718	0.120	18.699	0.015	18.177	0.012	18.211	0.016	19.049	0.021	18.365	0.015
2454354.64	20.780	0.118	18.694	0.014	18.058	0.012	18.111	0.015	19.173	0.020	18.277	0.013
2454362.57	---	---	19.212	0.021	18.261	0.012	18.080	0.016	19.667	0.039	18.645	0.017
2454363.57	---	---	19.215	0.020	18.289	0.012	18.166	0.016	19.791	0.044	18.701	0.020
2454365.62	---	---	19.348	0.031	18.335	0.021	18.254	0.018	19.901	0.059	18.811	0.029
2454368.60	---	---	19.686	0.074	18.507	0.032	18.278	0.027	20.063	0.191	19.063	0.066
2454378.58	---	---	20.148	0.034	18.887	0.018	18.658	0.024	---	---	19.591	0.033
2454382.59	---	---	20.372	0.028	19.018	0.014	18.729	0.018	---	---	19.712	0.025
2454383.57	---	---	20.327	0.028	19.075	0.015	18.892	0.019	---	---	19.692	0.024
2454392.53	---	---	20.436	0.035	19.267	0.017	19.018	0.019	---	---	19.820	0.031
2454394.56	---	---	---	---	19.331	0.036	18.920	0.040	---	---	19.939	0.074
2454400.52	---	---	20.611	0.058	19.412	0.026	19.183	0.027	---	---	20.004	0.055
2454411.52	---	---	20.640	0.034	19.677	0.023	19.567	0.032	---	---	20.077	0.070
2454418.55	---	---	20.851	0.039	19.811	0.025	19.580	0.032	---	---	20.231	0.031
2454427.53	---	---	---	---	19.805	0.043	19.790	0.052	---	---	20.269	0.087
