2453980.77	17.270	0.035	17.094	0.048	17.002	0.090
2453980.78	17.224	0.025	17.035	0.042	16.969	0.091
2453987.78	16.640	0.020	16.538	0.020	16.384	0.043
2453987.79	16.625	0.020	16.517	0.023	16.363	0.036
2453993.73	16.524	0.017	16.372	0.027	---	---
2453993.74	16.530	0.020	16.375	0.021	---	---
2453995.75	---	---	16.370	0.021	16.136	0.032
2453995.76	---	---	16.392	0.018	16.114	0.033
2453999.76	16.662	0.020	16.423	0.028	---	---
2453999.77	16.679	0.023	16.411	0.024	---	---
2454002.73	---	---	16.567	0.026	16.183	0.042
2454002.73	---	---	16.520	0.028	---	---
2454010.71	17.216	0.064	---	---	---	---
2454011.67	17.210	0.032	16.987	0.038	16.570	0.056
2454011.69	17.182	0.039	17.083	0.046	16.656	0.063
2454023.66	17.621	0.064	17.569	0.080	16.727	0.070
2454023.66	17.483	0.060	17.479	0.057	---	---
2454037.65	17.887	0.036	17.899	0.070	---	---
2454037.66	17.860	0.056	17.830	0.068	---	---
