2453820.68	17.359	0.037	17.293	0.063	17.071	0.076
2453820.70	17.420	0.035	17.130	0.038	16.985	0.084
2453822.59	17.264	0.028	17.029	0.044	16.846	0.072
2453822.59	17.293	0.028	17.139	0.042	---	---
2453830.56	17.151	0.026	16.968	0.029	---	---
2453830.57	17.210	0.033	16.985	0.031	---	---
2453837.61	17.436	0.036	17.049	0.030	---	---
2453837.62	17.456	0.039	17.102	0.035	---	---
2453864.53	---	---	18.054	0.063	---	---
2453864.54	---	---	18.070	0.056	---	---
