2454169.66	---	---	18.770	0.020	17.984	0.012	17.944	0.016	19.216	0.031	18.311	0.019
2454174.64	---	---	19.193	0.020	18.087	0.011	17.953	0.017	19.670	0.033	18.591	0.019
2454179.64	---	---	19.555	0.023	18.307	0.014	18.065	0.017	20.290	0.051	18.929	0.023
2454182.74	---	---	19.778	0.029	---	---	---	---	---	---	---	---
2454199.57	---	---	20.379	0.037	19.060	0.018	18.880	0.026	20.982	0.085	19.720	0.033
2454246.49	---	---	---	---	19.803	0.088	19.689	0.081	---	---	---	---
