2454016.55	16.488	0.019	16.306	0.025	---	---
2454016.56	16.521	0.023	16.316	0.020	---	---
2454023.59	16.672	0.029	16.510	0.036	16.337	0.061
2454023.60	16.678	0.031	16.429	0.034	16.426	0.079
2454030.58	16.849	0.024	16.663	0.028	16.374	0.036
2454030.59	16.873	0.030	16.701	0.026	16.542	0.046
2454037.59	17.044	0.026	16.933	0.039	16.611	0.053
2454037.60	17.038	0.034	16.942	0.046	16.742	0.066
2454043.58	17.185	0.042	17.108	0.065	16.763	0.094
2454043.59	17.196	0.052	---	---	16.642	0.096
2454045.53	17.296	0.056	17.115	0.066	16.701	0.078
2454045.55	---	---	17.161	0.041	16.764	0.102
2454047.55	17.317	0.038	---	---	---	---
2454047.63	17.361	0.077	---	---	---	---
2454053.60	17.471	0.039	17.216	0.048	16.867	0.053
2454053.62	17.458	0.045	17.320	0.048	16.811	0.060
2454067.53	17.683	0.048	17.702	0.086	17.178	0.093
2454067.54	17.787	0.072	17.871	0.105	17.251	0.094
2454074.53	18.061	0.078	17.779	0.092	17.352	0.129
2454074.54	17.887	0.048	18.154	0.129	17.579	0.155
