2453309.67	19.183	0.028	18.244	0.014	18.001	0.013	18.235	0.015	18.452	0.015	18.062	0.017
2453310.67	18.805	0.023	17.985	0.012	17.773	0.013	17.970	0.013	18.169	0.012	17.848	0.011
2453311.67	18.513	0.017	17.765	0.014	17.573	0.009	17.747	0.012	17.959	0.010	17.614	0.011
2453312.62	18.337	0.019	17.595	0.014	17.419	0.012	17.588	0.012	---	---	---	---
2453314.62	18.145	0.014	17.372	0.009	17.185	0.007	17.326	0.009	17.571	0.009	17.241	0.010
2453315.60	18.114	0.016	17.297	0.014	17.109	0.016	17.265	0.013	17.531	0.011	17.172	0.012
2453320.60	18.687	0.017	17.375	0.014	16.945	0.014	17.036	0.011	---	---	---	---
2453321.66	18.936	0.020	17.472	0.010	16.972	0.010	17.047	0.010	17.814	0.009	17.182	0.009
2453323.60	19.377	0.032	17.666	0.011	17.014	0.011	17.079	0.009	18.056	0.011	17.284	0.009
2453324.62	19.632	0.035	17.786	0.016	17.056	0.010	17.081	0.008	18.214	0.012	17.358	0.010
2453325.66	19.712	0.119	17.909	0.016	17.126	0.010	17.137	0.011	18.393	0.013	17.451	0.012
2453327.57	20.261	0.050	18.181	0.017	17.259	0.010	17.205	0.011	18.657	0.013	17.640	0.010
2453330.64	20.151	0.087	18.548	0.015	17.507	0.009	17.418	0.009	19.078	0.025	17.960	0.011
2453337.57	20.937	0.162	19.075	0.020	18.054	0.010	17.878	0.012	19.609	0.041	18.536	0.017
2453338.60	---	---	---	---	18.095	0.018	17.967	0.015	19.609	0.045	18.594	0.020
2453339.59	---	---	---	---	18.181	0.011	18.024	0.013	19.651	0.026	18.688	0.016
2453340.60	21.059	0.082	19.259	0.022	18.270	0.016	18.083	0.019	19.709	0.029	18.708	0.020
2453344.58	---	---	19.407	0.025	18.458	0.016	18.280	0.015	19.891	0.029	18.892	0.024
2453348.58	---	---	19.524	0.029	18.602	0.025	18.465	0.016	19.981	0.032	19.011	0.024
2453352.60	---	---	19.623	0.018	18.719	0.015	18.613	0.016	20.080	0.031	19.138	0.027
2453354.55	---	---	---	---	18.788	0.020	18.657	0.018	20.107	0.034	19.188	0.023
2453357.55	---	---	19.739	0.034	18.893	0.021	18.740	0.017	20.126	0.038	19.273	0.025
2453362.55	---	---	19.869	0.045	18.999	0.023	18.849	0.021	20.354	0.097	19.398	0.037
