2454869.81	18.544	0.035	17.767	0.011	17.654	0.011	17.748	0.012	18.008	0.014	17.644	0.012
2454872.90	---	---	---	---	---	---	---	---	---	---	17.381	0.016
2454873.82	18.367	0.032	17.550	0.011	17.315	0.012	17.426	0.013	17.818	0.017	17.359	0.014
2454874.78	18.498	0.058	17.539	0.013	17.285	0.012	17.357	0.013	17.801	0.019	17.299	0.013
2454879.89	---	---	17.511	0.011	---	---	17.171	0.015	17.817	0.016	17.259	0.011
2454884.89	18.989	0.027	17.793	0.011	17.234	0.011	17.170	0.010	18.189	0.015	17.452	0.013
2454885.78	19.076	0.030	17.891	0.013	17.288	0.013	17.207	0.012	18.280	0.016	17.506	0.013
2454888.75	19.659	0.043	18.165	0.011	17.451	0.010	17.282	0.011	18.615	0.015	17.691	0.011
2454896.83	20.790	0.082	18.890	0.014	17.922	0.011	17.663	0.012	19.435	0.023	18.285	0.014
2454898.79	21.019	0.177	18.998	0.020	18.021	0.012	17.765	0.012	19.513	0.036	18.360	0.018
2454900.79	---	---	19.052	0.028	18.127	0.016	17.852	0.016	19.589	0.061	18.487	0.023
2454902.73	---	---	19.176	0.046	18.171	0.022	17.960	0.019	---	---	18.582	0.034
2454908.77	---	---	19.372	0.021	18.433	0.013	18.163	0.013	19.901	0.045	18.777	0.020
2454911.84	---	---	19.417	0.017	18.534	0.014	18.262	0.014	20.016	0.039	18.828	0.017
2454914.77	---	---	19.530	0.019	18.607	0.013	18.334	0.014	20.040	0.039	18.929	0.017
2454915.79	---	---	19.490	0.017	18.620	0.014	18.352	0.015	20.078	0.038	18.971	0.019
2454917.86	---	---	19.554	0.020	18.646	0.014	18.431	0.018	20.109	0.043	18.954	0.020
2454927.75	---	---	19.701	0.031	18.903	0.022	18.649	0.021	20.082	0.061	19.173	0.032
2454928.78	---	---	19.696	0.039	18.889	0.028	18.693	0.024	20.128	0.077	19.115	0.043
