2453823.61	19.701	0.114	18.300	0.030	17.839	0.020	17.702	0.018	18.569	0.027	18.034	0.026
2453824.62	20.067	0.146	18.333	0.022	17.820	0.015	17.665	0.013	18.649	0.036	18.017	0.021
2453832.61	---	---	19.093	0.036	18.121	0.020	17.772	0.018	19.489	0.045	18.459	0.022
2453833.59	---	---	19.164	0.030	18.194	0.016	17.837	0.017	19.673	0.063	18.543	0.024
2453840.56	---	---	19.666	0.048	18.547	0.025	18.148	0.021	20.220	0.106	19.068	0.039
2453846.60	---	---	20.139	0.085	18.952	0.027	18.447	0.024	20.517	0.076	19.494	0.034
2453858.52	---	---	20.523	0.102	19.379	0.039	18.881	0.029	---	---	19.814	0.068
2453862.51	---	---	20.584	0.086	19.400	0.036	18.948	0.033	20.887	0.161	19.936	0.068
2453867.48	---	---	20.581	0.107	19.488	0.039	19.041	0.035	---	---	19.998	0.076
2453870.52	---	---	20.657	0.142	19.573	0.051	19.147	0.042	---	---	20.012	0.076
2453871.49	---	---	20.637	0.103	19.621	0.050	19.186	0.040	---	---	20.100	0.068
2453872.49	---	---	---	---	19.661	0.054	19.192	0.037	---	---	20.116	0.070
2453890.52	---	---	---	---	19.874	0.051	19.579	0.048	---	---	20.374	0.081
2453891.47	---	---	---	---	19.923	0.061	19.587	0.055	---	---	20.430	0.101
