2454846.64	16.452	0.016	16.364	0.013	16.356	0.029
2454846.65	16.471	0.016	16.386	0.014	16.353	0.036
2454847.65	16.460	0.020	16.297	0.020	16.305	0.047
2454847.66	16.402	0.017	---	---	16.267	0.050
2454854.60	16.147	0.011	15.950	0.013	15.766	0.020
2454854.61	16.147	0.014	15.898	0.012	15.767	0.020
2454857.65	15.988	0.011	15.773	0.018	---	---
2454857.66	16.014	0.013	15.744	0.020	---	---
2454868.58	15.565	0.012	15.446	0.011	15.377	0.015
2454868.59	15.562	0.013	15.433	0.011	15.378	0.016
2454886.57	15.611	0.010	15.440	0.009	15.305	0.020
2454886.58	15.645	0.014	15.438	0.011	15.229	0.016
2454895.52	15.736	0.011	15.603	0.013	15.367	0.014
2454895.53	15.765	0.011	15.619	0.012	15.337	0.016
