2454033.60	20.370	0.165	18.696	0.017	18.032	0.013	17.981	0.019	19.086	0.027	18.331	0.015
2454036.56	19.956	0.079	18.298	0.011	17.647	0.011	17.613	0.010	18.727	0.018	17.756	0.040
2454038.57	19.806	0.067	18.155	0.011	17.488	0.008	17.407	0.010	18.596	0.021	17.791	0.012
2454048.60	20.950	0.116	18.513	0.011	17.470	0.008	---	---	19.058	0.021	17.949	0.011
2454052.54	---	---	18.983	0.018	17.804	0.013	17.495	0.013	19.652	0.029	18.356	0.015
2454066.53	---	---	19.921	0.044	18.674	0.017	18.258	0.017	20.562	0.072	19.261	0.042
2454079.57	---	---	20.243	0.042	19.043	0.019	18.636	0.025	20.713	0.087	19.640	0.035
