2454444.72	16.570	0.027	16.350	0.028	16.354	0.070
2454444.76	---	---	---	---	16.271	0.054
2454446.74	16.646	0.025	16.460	0.028	---	---
2454446.76	16.612	0.023	16.449	0.023	---	---
2454448.73	16.742	0.019	16.497	0.027	16.198	0.041
2454448.74	16.744	0.019	---	---	16.230	0.051
2454452.67	16.942	0.026	16.812	0.034	16.433	0.057
2454452.65	16.952	0.026	---	---	---	---
