2454914.58	18.696	0.044	17.478	0.015	16.982	0.022	16.950	0.027	17.908	0.020	17.186	0.013
2454915.57	18.263	0.028	17.093	0.018	16.612	0.016	16.559	0.017	17.473	0.012	16.794	0.011
2454917.69	18.015	0.023	16.732	0.015	16.172	0.021	---	---	17.143	0.013	16.390	0.012
2454920.57	18.081	0.024	16.558	0.011	15.937	0.019	15.908	0.015	17.047	0.013	16.161	0.012
2454927.58	18.857	0.039	16.880	0.010	15.887	0.013	15.817	0.012	17.582	0.013	16.249	0.009
2454928.55	19.144	0.050	16.984	0.011	15.924	0.012	15.831	0.013	17.734	0.016	16.338	0.011
2454930.53	19.571	0.077	17.196	0.012	16.000	0.018	15.881	0.015	17.969	0.019	16.501	0.012
2454931.54	19.616	0.102	17.320	0.013	16.068	0.016	15.931	0.014	18.115	0.022	16.596	0.010
2454933.55	19.828	0.072	17.543	0.013	16.223	0.015	16.054	0.012	18.389	0.020	16.803	0.011
2454937.60	20.262	0.093	17.990	0.028	16.583	0.034	16.359	0.021	18.873	0.025	17.192	0.011
2454938.59	20.310	0.095	18.102	0.030	16.665	0.035	16.385	0.024	18.965	0.029	17.288	0.013
2454942.58	20.538	0.108	18.373	0.025	16.933	0.022	16.706	0.020	19.299	0.035	17.585	0.012
2454946.55	20.753	0.110	18.613	0.032	17.239	0.039	16.963	0.023	19.497	0.041	---	---
2454947.54	20.985	0.138	18.705	0.050	---	---	17.045	0.024	19.573	0.044	17.878	0.019
2454960.53	---	---	19.072	0.032	17.684	0.034	17.524	0.026	19.859	0.071	18.333	0.023
2454964.57	---	---	19.099	0.042	17.822	0.029	17.631	0.020	19.841	0.064	18.405	0.024
2454966.53	---	---	19.117	0.047	17.868	0.050	17.713	0.026	20.038	0.064	18.507	0.024
2454972.50	---	---	19.349	0.041	18.203	0.065	17.884	0.032	20.268	0.065	18.703	0.026
2454976.50	---	---	---	---	---	---	17.917	0.053	---	---	18.686	0.064
