2454377.71	17.601	0.048	17.494	0.067	17.335	0.125
2454377.71	17.585	0.043	---	---	17.380	0.133
2454381.70	17.388	0.038	17.318	0.057	17.334	0.110
2454381.71	17.303	0.038	17.210	0.050	17.389	0.116
2454384.69	17.253	0.030	17.283	0.056	17.032	0.082
2454384.70	17.216	0.033	17.125	0.050	17.017	0.087
2454393.67	17.505	0.036	17.318	0.067	16.980	0.095
2454393.69	---	---	17.355	0.067	17.042	0.092
2454408.64	18.003	0.064	17.858	0.087	17.460	0.148
2454408.65	17.967	0.053	17.751	0.101	17.507	0.171
2454412.61	18.079	0.104	18.029	0.129	17.718	0.172
2454412.60	18.055	0.066	---	---	---	---
2454437.59	18.763	0.122	---	---	---	---
2454437.61	18.696	0.093	---	---	---	---
