2454150.52	16.695	0.037	16.633	0.044	16.610	0.060
2454156.53	15.668	0.014	15.629	0.017	---	---
2454162.51	15.144	0.015	15.071	0.016	14.911	0.033
2454164.50	15.047	0.014	14.952	0.019	---	---
2454167.51	14.965	0.011	14.845	0.015	14.676	0.026
2454168.52	15.000	0.013	14.850	0.017	14.640	0.028
2454175.51	15.158	0.013	15.028	0.024	14.762	0.031
2454183.49	15.223	0.017	15.289	0.022	14.949	0.025
2454189.51	---	---	15.527	0.030	15.072	0.048
2454193.48	15.355	0.015	15.665	0.028	15.366	0.040
2454198.48	15.459	0.025	15.872	0.038	15.418	0.046
