2453823.75	---	---	19.377	0.017	18.375	0.014	18.201	0.017	19.851	0.029	18.778	0.017
2453824.81	---	---	19.480	0.019	18.442	0.013	18.301	0.016	20.076	0.052	18.882	0.025
2453831.78	---	---	20.083	0.025	18.881	0.017	18.604	0.022	20.700	0.055	19.437	0.024
2453833.73	---	---	20.153	0.039	19.021	0.018	18.698	0.021	---	---	19.550	0.032
2453835.72	---	---	20.146	0.061	19.140	0.028	18.805	0.025	---	---	19.697	0.043
2453840.71	---	---	20.507	0.098	19.369	0.034	19.033	0.033	---	---	19.872	0.078
2453846.75	---	---	20.728	0.066	19.615	0.029	19.236	0.032	---	---	20.103	0.054
2453850.72	---	---	20.698	0.042	19.733	0.026	19.489	0.035	---	---	20.258	0.046
2453861.65	---	---	21.020	0.072	19.910	0.037	19.626	0.038	---	---	20.307	0.064
2453862.62	---	---	20.963	0.075	20.036	0.041	19.690	0.045	---	---	20.529	0.074
2453867.65	---	---	---	---	20.235	0.077	---	---	---	---	---	---
2453870.68	---	---	---	---	20.221	0.073	19.929	0.078	---	---	---	---
2453891.64	---	---	---	---	20.512	0.097	20.431	0.103	---	---	---	---
