2453776.74	15.432	0.015	15.301	0.016	15.212	0.021
2453776.75	15.419	0.015	15.261	0.016	15.182	0.018
2453777.73	15.382	0.022	15.223	0.020	15.145	0.026
2453777.74	15.337	0.023	15.227	0.020	15.139	0.020
2453779.68	15.249	0.020	15.101	0.019	15.064	0.026
2453779.69	15.210	0.023	15.066	0.018	14.973	0.021
2453782.76	15.146	0.018	14.996	0.016	14.878	0.019
2453782.77	15.118	0.020	14.988	0.017	14.838	0.016
2453789.74	15.222	0.018	14.990	0.019	14.796	0.020
2453789.75	15.218	0.024	15.024	0.019	14.780	0.018
2453796.74	15.444	0.023	15.198	0.016	14.919	0.017
2453796.74	15.428	0.023	15.217	0.019	14.912	0.018
2453800.66	15.527	0.014	15.380	0.016	15.008	0.017
2453800.67	15.515	0.014	15.336	0.016	15.018	0.014
2453803.74	15.570	0.021	15.435	0.021	15.126	0.026
2453803.74	15.563	0.021	15.457	0.023	15.111	0.028
2453807.72	15.789	0.021	15.650	0.024	15.230	0.018
2453807.73	15.744	0.019	15.618	0.022	15.248	0.020
2453810.72	15.818	0.021	15.761	0.021	15.315	0.024
2453810.72	15.812	0.022	15.774	0.025	15.339	0.023
2453814.61	15.953	0.023	15.861	0.025	15.393	0.023
2453814.61	15.954	0.030	15.858	0.025	15.435	0.022
2453817.67	16.047	0.025	15.967	0.025	15.481	0.020
2453817.67	16.012	0.025	15.965	0.023	15.519	0.021
2453822.65	16.176	0.021	16.198	0.034	15.672	0.028
2453822.66	16.143	0.023	16.184	0.028	15.641	0.031
2453826.59	16.220	0.020	16.345	0.040	15.778	0.031
2453826.60	16.220	0.022	16.252	0.029	15.753	0.028
2453837.66	16.501	0.036	16.676	0.047	---	---
2453837.66	16.542	0.037	16.696	0.043	---	---
2453848.60	16.847	0.041	16.940	0.071	16.504	0.093
2453848.60	16.766	0.046	17.122	0.062	---	---
2453860.59	17.128	0.043	17.578	0.123	16.698	0.081
2453860.60	17.146	0.042	---	---	16.668	0.096
2453868.56	17.286	0.038	17.680	0.064	16.842	0.052
2453868.57	17.326	0.042	17.704	0.078	16.891	0.061
