2454961.88	16.078	0.013	15.818	0.013	15.619	0.022
2454961.89	16.061	0.015	15.878	0.016	15.565	0.024
2454965.89	16.070	0.014	15.791	0.014	15.610	0.022
2454965.90	16.064	0.017	15.815	0.013	15.575	0.021
2454967.88	16.102	0.014	15.827	0.016	15.559	0.021
2454967.89	16.053	0.014	15.811	0.011	15.564	0.021
2454973.86	16.228	0.017	15.957	0.015	15.618	0.020
2454973.87	16.240	0.017	15.915	0.014	15.622	0.023
2454975.88	16.321	0.017	16.018	0.014	15.740	0.022
2454975.89	16.314	0.017	16.000	0.015	15.690	0.022
