2454445.70	---	---	18.543	0.016	17.474	0.017	17.159	0.010	19.184	0.030	17.934	0.015
2454447.69	---	---	18.816	0.017	---	---	17.241	0.011	19.510	0.031	18.165	0.016
2454449.73	---	---	19.084	0.023	17.833	0.017	17.429	0.012	19.619	0.047	18.422	0.019
2454453.67	---	---	19.452	0.030	18.170	0.014	17.722	0.012	20.090	0.077	18.837	0.029
2454455.64	---	---	19.567	0.046	18.269	0.020	17.852	0.018	20.354	0.137	18.981	0.038
2454456.69	---	---	19.765	0.075	18.393	0.027	17.912	0.022	20.100	0.125	19.104	0.051
2454457.66	---	---	19.758	0.079	18.492	0.026	17.967	0.019	20.318	0.179	19.038	0.051
2454458.62	---	---	---	---	18.505	0.024	18.086	0.018	20.428	0.153	19.125	0.040
2454464.68	---	---	---	---	18.781	0.030	18.406	0.021	---	---	19.454	0.039
2454469.62	---	---	20.198	0.047	---	---	18.592	0.020	20.706	0.074	19.628	0.041
2454480.63	---	---	---	---	19.300	0.024	18.893	0.027	---	---	19.958	0.043
