2009K  2454846.64  16.452 0.016  16.364 0.013  16.356 0.029
2009K  2454846.65  16.471 0.016  16.386 0.014  16.353 0.036
2009K  2454847.65  16.460 0.020  16.297 0.020  16.305 0.047
2009K  2454847.66  16.402 0.017  ---    ---    16.267 0.050
2009K  2454854.60  16.147 0.011  15.950 0.013  15.766 0.020
2009K  2454854.61  16.147 0.014  15.898 0.012  15.767 0.020
2009K  2454857.65  15.988 0.011  15.773 0.018  ---    ---
2009K  2454857.66  16.014 0.013  15.744 0.020  ---    ---
2009K  2454868.58  15.565 0.012  15.446 0.011  15.377 0.015
2009K  2454868.59  15.562 0.013  15.433 0.011  15.378 0.016
2009K  2454886.57  15.611 0.010  15.440 0.009  15.305 0.020
2009K  2454886.58  15.645 0.014  15.438 0.011  15.229 0.016
2009K  2454895.52  15.736 0.011  15.603 0.013  15.367 0.014
2009K  2454895.53  15.765 0.011  15.619 0.012  15.337 0.016
2009Z  2454886.84  16.974 0.020  16.718 0.017  16.591 0.035
2009Z  2454886.85  16.956 0.020  16.686 0.016  16.669 0.041
2009Z  2454887.88  17.025 0.017  16.707 0.017  ---    ---
2009Z  2454887.89  17.023 0.017  16.737 0.020  ---    ---
2009Z  2454890.84  17.098 0.022  16.799 0.018  16.755 0.032
2009Z  2454890.85  17.126 0.024  16.773 0.018  16.700 0.035
2009Z  2454894.79  17.224 0.023  16.886 0.023  16.686 0.045
2009Z  2454894.80  17.236 0.024  16.921 0.020  16.771 0.059
2009Z  2454899.85  17.425 0.023  17.151 0.027  17.038 0.051
2009Z  2454899.86  17.440 0.022  17.115 0.021  17.076 0.059
2009Z  2454907.92  17.709 0.028  17.398 0.056  17.408 0.087
2009Z  2454907.93  17.738 0.027  17.532 0.058  17.358 0.099
2009Z  2454912.93  17.920 0.024  17.670 0.041  17.524 0.083
2009Z  2454912.94  17.869 0.032  17.622 0.034  17.384 0.080
2009bb 2454919.67  15.363 0.015  15.201 0.015  15.006 0.017
2009bb 2454919.67  15.345 0.015  15.189 0.012  ---    ---
2009bb 2454921.70  15.205 0.008  15.039 0.008  14.876 0.011
2009bb 2454921.71  15.193 0.010  15.057 0.012  14.852 0.012
2009bb 2454929.63  15.003 0.010  14.789 0.009  14.670 0.012
2009bb 2454929.63  15.013 0.015  14.861 0.010  ---    ---
2009bb 2454932.66  15.035 0.009  14.872 0.011  14.789 0.011
2009bb 2454932.66  15.064 0.012  14.918 0.014  ---    ---
2009bb 2454939.69  15.367 0.011  15.183 0.010  15.079 0.015
2009bb 2454939.68  15.366 0.010  15.210 0.008  ---    ---
2009bb 2454945.66  15.836 0.018  15.625 0.014  15.458 0.019
2009bb 2454945.66  15.754 0.016  15.635 0.013  ---    ---
2009bb 2454948.63  15.965 0.019  15.810 0.017  15.656 0.022
2009bb 2454948.63  15.930 0.016  15.809 0.013  ---    ---
2009bb 2454949.63  15.967 0.016  15.974 0.018  15.661 0.027
2009bb 2454949.63  16.054 0.018  15.902 0.013  ---    ---
2009bb 2454975.62  17.035 0.021  17.166 0.030  16.604 0.061
2009bb 2454975.62  17.067 0.028  17.246 0.034  ---    ---
2009ca 2454929.94  18.020 0.034  ---    ---    ---    ---
2009ca 2454929.95  18.033 0.041  ---    ---    ---    ---
2009ca 2454932.94  18.086 0.036  17.667 0.039  ---    ---
2009ca 2454932.94  17.999 0.031  17.850 0.048  ---    ---
2009ca 2454939.90  18.256 0.050  18.106 0.061  ---    ---
2009ca 2454939.91  18.205 0.040  18.064 0.066  ---    ---
2009ca 2454945.88  18.357 0.042  18.203 0.059  ---    ---
2009ca 2454945.88  18.396 0.054  18.013 0.046  ---    ---
2009ca 2454948.88  18.401 0.041  18.135 0.053  ---    ---
2009ca 2454948.89  18.554 0.058  18.085 0.056  ---    ---
2009ca 2454949.86  18.583 0.064  18.117 0.047  ---    ---
2009ca 2454949.87  18.543 0.060  18.267 0.054  ---    ---
2009dt 2454961.88  16.078 0.013  15.818 0.013  15.619 0.022
2009dt 2454961.89  16.061 0.015  15.878 0.016  15.565 0.024
2009dt 2454965.89  16.070 0.014  15.791 0.014  15.610 0.022
2009dt 2454965.90  16.064 0.017  15.815 0.013  15.575 0.021
2009dt 2454967.88  16.102 0.014  15.827 0.016  15.559 0.021
2009dt 2454967.89  16.053 0.014  15.811 0.011  15.564 0.021
2009dt 2454973.86  16.228 0.017  15.957 0.015  15.618 0.020
2009dt 2454973.87  16.240 0.017  15.915 0.014  15.622 0.023
2009dt 2454975.88  16.321 0.017  16.018 0.014  15.740 0.022
2009dt 2454975.89  16.314 0.017  16.000 0.015  15.690 0.022
