2005em 2453642.71  17.786 0.046  17.656 0.070  ---    ---
2005em 2453642.72  17.784 0.060  17.723 0.089  ---    ---
2005em 2453643.74  17.663 0.096  17.520 0.182  17.401 0.137
2005em 2453657.65  17.399 0.031  17.593 0.047  17.320 0.054
2005em 2453657.66  17.440 0.033  17.446 0.039  17.125 0.047
2005em 2453660.77  17.477 0.036  17.567 0.062  17.190 0.083
2005em 2453660.78  17.413 0.032  17.474 0.059  17.267 0.102
2005em 2453664.77  17.644 0.028  17.664 0.055  17.360 0.084
2005em 2453664.77  17.554 0.032  17.773 0.061  ---    ---
2005em 2453670.72  17.843 0.037  18.171 0.103  17.651 0.109
2005em 2453670.72  17.928 0.045  18.123 0.082  17.429 0.101
2005em 2453677.71  18.070 0.042  18.332 0.113  17.815 0.129
2005em 2453677.71  18.165 0.055  ---    ---    18.010 0.152
2006T  2453776.74  15.432 0.015  15.301 0.016  15.212 0.021
2006T  2453776.75  15.419 0.015  15.261 0.016  15.182 0.018
2006T  2453777.73  15.382 0.022  15.223 0.020  15.145 0.026
2006T  2453777.74  15.337 0.023  15.227 0.020  15.139 0.020
2006T  2453779.68  15.249 0.020  15.101 0.019  15.064 0.026
2006T  2453779.69  15.210 0.023  15.066 0.018  14.973 0.021
2006T  2453782.76  15.146 0.018  14.996 0.016  14.878 0.019
2006T  2453782.77  15.118 0.020  14.988 0.017  14.838 0.016
2006T  2453789.74  15.222 0.018  14.990 0.019  14.796 0.020
2006T  2453789.75  15.218 0.024  15.024 0.019  14.780 0.018
2006T  2453796.74  15.444 0.023  15.198 0.016  14.919 0.017
2006T  2453796.74  15.428 0.023  15.217 0.019  14.912 0.018
2006T  2453800.66  15.527 0.014  15.380 0.016  15.008 0.017
2006T  2453800.67  15.515 0.014  15.336 0.016  15.018 0.014
2006T  2453803.74  15.570 0.021  15.435 0.021  15.126 0.026
2006T  2453803.74  15.563 0.021  15.457 0.023  15.111 0.028
2006T  2453807.72  15.789 0.021  15.650 0.024  15.230 0.018
2006T  2453807.73  15.744 0.019  15.618 0.022  15.248 0.020
2006T  2453810.72  15.818 0.021  15.761 0.021  15.315 0.024
2006T  2453810.72  15.812 0.022  15.774 0.025  15.339 0.023
2006T  2453814.61  15.953 0.023  15.861 0.025  15.393 0.023
2006T  2453814.61  15.954 0.030  15.858 0.025  15.435 0.022
2006T  2453817.67  16.047 0.025  15.967 0.025  15.481 0.020
2006T  2453817.67  16.012 0.025  15.965 0.023  15.519 0.021
2006T  2453822.65  16.176 0.021  16.198 0.034  15.672 0.028
2006T  2453822.66  16.143 0.023  16.184 0.028  15.641 0.031
2006T  2453826.59  16.220 0.020  16.345 0.040  15.778 0.031
2006T  2453826.60  16.220 0.022  16.252 0.029  15.753 0.028
2006T  2453837.66  16.501 0.036  16.676 0.047  ---    ---
2006T  2453837.66  16.542 0.037  16.696 0.043  ---    ---
2006T  2453848.60  16.847 0.041  16.940 0.071  16.504 0.093
2006T  2453848.60  16.766 0.046  17.122 0.062  ---    ---
2006T  2453860.59  17.128 0.043  17.578 0.123  16.698 0.081
2006T  2453860.60  17.146 0.042  ---    ---    16.668 0.096
2006T  2453868.56  17.286 0.038  17.680 0.064  16.842 0.052
2006T  2453868.57  17.326 0.042  17.704 0.078  16.891 0.061
2006ba 2453820.68  17.359 0.037  17.293 0.063  17.071 0.076
2006ba 2453820.70  17.420 0.035  17.130 0.038  16.985 0.084
2006ba 2453822.59  17.264 0.028  17.029 0.044  16.846 0.072
2006ba 2453822.59  17.293 0.028  17.139 0.042  ---    ---
2006ba 2453830.56  17.151 0.026  16.968 0.029  ---    ---
2006ba 2453830.57  17.210 0.033  16.985 0.031  ---    ---
2006ba 2453837.61  17.436 0.036  17.049 0.030  ---    ---
2006ba 2453837.62  17.456 0.039  17.102 0.035  ---    ---
2006ba 2453864.53  ---    ---    18.054 0.063  ---    ---
2006ba 2453864.54  ---    ---    18.070 0.056  ---    ---
2006bf 2453826.79  ---    ---    ---    ---    17.479 0.108
2006bf 2453826.80  ---    ---    ---    ---    17.340 0.093
2006bf 2453829.79  17.981 0.036  17.863 0.059  ---    ---
2006bf 2453829.81  ---    ---    17.846 0.062  ---    ---
2006bf 2453830.77  18.092 0.044  17.761 0.064  ---    ---
2006bf 2453830.78  18.035 0.064  17.708 0.058  ---    ---
2006bf 2453839.71  18.412 0.063  18.202 0.069  ---    ---
2006ep 2453980.77  17.270 0.035  17.094 0.048  17.002 0.090
2006ep 2453980.78  17.224 0.025  17.035 0.042  16.969 0.091
2006ep 2453987.78  16.640 0.020  16.538 0.020  16.384 0.043
2006ep 2453987.79  16.625 0.020  16.517 0.023  16.363 0.036
2006ep 2453993.73  16.524 0.017  16.372 0.027  ---    ---
2006ep 2453993.74  16.530 0.020  16.375 0.021  ---    ---
2006ep 2453995.75  ---    ---    16.370 0.021  16.136 0.032
2006ep 2453995.76  ---    ---    16.392 0.018  16.114 0.033
2006ep 2453999.76  16.662 0.020  16.423 0.028  ---    ---
2006ep 2453999.77  16.679 0.023  16.411 0.024  ---    ---
2006ep 2454002.73  ---    ---    16.567 0.026  16.183 0.042
2006ep 2454002.73  ---    ---    16.520 0.028  ---    ---
2006ep 2454010.71  17.216 0.064  ---    ---    ---    ---
2006ep 2454011.67  17.210 0.032  16.987 0.038  16.570 0.056
2006ep 2454011.69  17.182 0.039  17.083 0.046  16.656 0.063
2006ep 2454023.66  17.621 0.064  17.569 0.080  16.727 0.070
2006ep 2454023.66  17.483 0.060  17.479 0.057  ---    ---
2006ep 2454037.65  17.887 0.036  17.899 0.070  ---    ---
2006ep 2454037.66  17.860 0.056  17.830 0.068  ---    ---
2006ir 2454016.55  16.488 0.019  16.306 0.025  ---    ---
2006ir 2454016.56  16.521 0.023  16.316 0.020  ---    ---
2006ir 2454023.59  16.672 0.029  16.510 0.036  16.337 0.061
2006ir 2454023.60  16.678 0.031  16.429 0.034  16.426 0.079
2006ir 2454030.58  16.849 0.024  16.663 0.028  16.374 0.036
2006ir 2454030.59  16.873 0.030  16.701 0.026  16.542 0.046
2006ir 2454037.59  17.044 0.026  16.933 0.039  16.611 0.053
2006ir 2454037.60  17.038 0.034  16.942 0.046  16.742 0.066
2006ir 2454043.58  17.185 0.042  17.108 0.065  16.763 0.094
2006ir 2454043.59  17.196 0.052  ---    ---    16.642 0.096
2006ir 2454045.53  17.296 0.056  17.115 0.066  16.701 0.078
2006ir 2454045.55  ---    ---    17.161 0.041  16.764 0.102
2006ir 2454047.55  17.317 0.038  ---    ---    ---    ---
2006ir 2454047.63  17.361 0.077  ---    ---    ---    ---
2006ir 2454053.60  17.471 0.039  17.216 0.048  16.867 0.053
2006ir 2454053.62  17.458 0.045  17.320 0.048  16.811 0.060
2006ir 2454067.53  17.683 0.048  17.702 0.086  17.178 0.093
2006ir 2454067.54  17.787 0.072  17.871 0.105  17.251 0.094
2006ir 2454074.53  18.061 0.078  17.779 0.092  17.352 0.129
2006ir 2454074.54  17.887 0.048  18.154 0.129  17.579 0.155
2007C  2454109.85  15.478 0.016  15.438 0.022  15.267 0.019
2007C  2454109.86  15.523 0.022  15.404 0.013  15.182 0.017
2007C  2454114.87  15.025 0.013  14.902 0.013  14.754 0.014
2007C  2454114.87  14.988 0.013  14.921 0.012  14.739 0.016
2007C  2454120.77  14.804 0.009  14.646 0.009  14.537 0.010
2007C  2454120.78  14.793 0.011  14.689 0.010  14.527 0.013
2007C  2454122.84  14.797 0.013  14.656 0.012  14.520 0.013
2007C  2454122.85  14.784 0.021  14.701 0.013  14.481 0.016
2007C  2454124.85  14.845 0.017  14.739 0.016  14.529 0.014
2007C  2454124.86  14.841 0.019  14.700 0.016  14.493 0.012
2007C  2454129.87  15.020 0.013  14.845 0.014  14.617 0.011
2007C  2454129.88  14.995 0.021  14.889 0.012  14.601 0.013
2007C  2454135.85  15.265 0.013  15.184 0.016  ---    ---
2007C  2454135.86  15.250 0.017  15.191 0.012  ---    ---
2007C  2454184.80  16.767 0.023  16.992 0.037  16.169 0.040
2007C  2454184.81  16.785 0.027  16.963 0.028  16.148 0.049
2007C  2454196.73  17.110 0.031  17.250 0.040  ---    ---
2007C  2454196.74  17.048 0.027  17.436 0.064  ---    ---
2007C  2454234.69  17.807 0.061  ---    ---    17.312 0.176
2007C  2454234.67  17.873 0.074  ---    ---    ---    ---
2007C  2454258.59  18.655 0.129  ---    ---    ---    ---
2007C  2454258.60  18.528 0.105  ---    ---    ---    ---
2007Y  2454150.52  16.695 0.037  16.633 0.044  16.610 0.060
2007Y  2454156.53  15.668 0.014  15.629 0.017   ---   ---
2007Y  2454162.51  15.144 0.015  15.071 0.016  14.911 0.033
2007Y  2454164.50  15.047 0.014  14.952 0.019  ---    ---
2007Y  2454167.51  14.965 0.011  14.845 0.015  14.676 0.026
2007Y  2454168.52  15.000 0.013  14.850 0.017  14.640 0.028
2007Y  2454175.51  15.158 0.013  15.028 0.024  14.762 0.031
2007Y  2454183.49  15.223 0.017  15.289 0.022  14.949 0.025
2007Y  2454189.51  ---    ---    15.527 0.030  15.072 0.048
2007Y  2454193.48  15.355 0.015  15.665 0.028  15.366 0.040
2007Y  2454198.48  15.459 0.025  15.872 0.038  15.418 0.046
2007ag 2454168.64  17.389 0.030  16.969 0.042  ---    ---
2007ag 2454168.65  17.345 0.032  17.067 0.042  ---    ---
2007ag 2454193.63  18.085 0.073  17.662 0.087  17.052 0.127
2007ag 2454193.64  17.939 0.057  17.360 0.065  17.038 0.091
2007ag 2454208.58  18.249 0.092  18.060 0.127  ---    ---
