2004ew  1  02 05 03.79  -55 03 51.2  16.917 0.036  15.692 0.017  15.249 0.015  15.073 0.012  16.076 0.009  15.466 0.301
2004ew  2  02 05 19.69  -55 04 42.8   ---   ---    17.741 0.026  16.774 0.015  16.395 0.012  18.373 0.041  17.337 0.301
2004ew  3  02 05 21.51  -55 04 35.0  19.048 0.060  17.677 0.019  17.142 0.015  16.942 0.019  18.103 0.031  17.405 0.342
2004ew  4  02 05 15.02  -55 04 59.8   ---   ---    18.793 0.070  18.088 0.055  17.853 0.059  19.303 0.076  18.463 0.102
2004ew  5  02 05 07.29  -55 04 58.9   ---   ---    18.701 0.056  17.338 0.011  15.716 0.014  19.795 0.052  18.122 0.303
2004ew  6  02 04 56.86  -55 07 06.2  17.464 0.037  16.071 0.015  15.606 0.012  15.435 0.009  16.473 0.012  15.839 0.296
2004ew  7  02 04 49.00  -55 08 22.2  19.461 0.074  18.179 0.047  17.704 0.026  17.532 0.024  18.576 0.050  17.927 0.313
2004ew  8  02 05 29.00  -55 08 18.1  16.105 0.035  15.038 0.013  14.705 0.010  14.600 0.008  15.353 0.010  14.863 0.319
2004ew  9  02 05 31.10  -55 07 00.6  19.624 0.089  18.000 0.032  17.313 0.010  17.020 0.027  18.457 0.058  17.663 0.278
2004ew 10  02 05 26.01  -55 08 55.4   ---   ---    19.376 0.066  17.953 0.034  16.813 0.015  20.262 0.102  18.738 0.072
2004ew 11  02 05 23.11  -55 08 39.0   ---   ---    20.052 0.108  19.078 0.039  18.701 0.101  20.673 0.098  19.640 0.151
2004ew 12  02 04 58.68  -55 10 05.1  16.493 0.036  15.389 0.014  14.947 0.008  14.770 0.005  15.750 0.012  15.167 0.299
2004ew 13  02 04 41.12  -55 07 15.5   ---   ---    18.198 0.042  17.337 0.025  17.024 0.033  18.775 0.050  17.836 0.017
2004ex  1  00 38 07.05  +02 42 50.2   ---   ---    18.768 0.126  17.472 0.045  16.821 0.038  19.509 0.090  18.236 0.085
2004ex  2  00 38 03.82  +02 41 17.5   ---   ---    18.016 0.026  16.849 0.015  16.388 0.022  18.711 0.051  17.512 0.043
2004ex  3  00 37 59.75  +02 41 16.5   ---   ---    19.409 0.045  18.766 0.041  18.366 0.102  19.870 0.053  19.088 0.054
2004ex  4  00 38 22.43  +02 46 09.7   ---   ---    18.850 0.101  18.080 0.056  17.755 0.065  19.472 0.093  18.525 0.107
2004ex  5  00 38 11.02  +02 41 21.2  16.805 0.052  15.239 0.004  14.679 0.003  14.471 0.008  15.693 0.015  14.962 0.012
2004ex  6  00 38 13.21  +02 39 27.0  18.327 0.046  17.246 0.008  16.847 0.013  16.721 0.034  17.609 0.016  17.049 0.004
2004ex  7  00 38 03.10  +02 47 30.6   ---   ---     ---   ---    14.109 0.009  13.962 0.008  14.885 0.011  14.300 0.012
2004ex  8  00 38 25.26  +02 44 06.7   ---   ---    19.386 0.371  18.387 0.043  17.183 0.023   ---   ---     ---   ---
2004ex  9  00 38 26.42  +02 43 07.2   ---   ---    19.944 0.016  18.807 0.119  17.752 0.072   ---   ---     ---   ---
2004ex 10  00 38 03.71  +02 40 48.7   ---   ---    17.345 0.028  16.105 0.015  15.553 0.013  18.065 0.076  16.805 0.019
2004ex 12  00 38 09.30  +02 40 46.2   ---   ---     ---   ---    19.064 0.045  17.845 0.080   ---   ---     ---   ---
2004fe  3  00 30 16.51  +02 04 49.3  18.909 0.041  18.080 0.042  17.890 0.004  17.807 0.009  18.374 0.029  18.016 0.015
2004fe  4  00 30 11.30  +02 07 03.2   ---   ---    18.049 0.059  17.209 0.005  16.883 0.008  18.637 0.033  17.673 0.024
2004fe  5  00 30 00.78  +02 08 04.4   ---   ---    17.386 0.026  16.015 0.003  15.212 0.018  18.140 0.036  16.781 0.017
2004fe  6  00 29 55.83  +02 05 25.1   ---   ---    17.896 0.048  16.612 0.013  15.761 0.006  18.651 0.052  17.383 0.011
2004fe  7  00 29 57.89  +02 04 28.9   ---   ---    17.277 0.020  16.195 0.008  15.734 0.008  17.915 0.062  16.825 0.015
2004fe  8  00 30 02.88  +02 05 06.4  19.111 0.062  18.125 0.021  17.751 0.045  17.638 0.020  18.457 0.013  17.938 0.030
2004fe  9  00 30 05.70  +02 05 13.9   ---   ---    19.186 0.023  17.880 0.014  16.604 0.018  20.117 0.086  18.706 0.046
2004fe 10  00 30 03.73  +02 03 58.7  18.468 0.102  19.105 0.143  18.820 0.104  18.607 0.058  19.547 0.042  19.076 0.037
2004fe 11  00 30 05.70  +02 03 43.6  19.464 0.085  18.498 0.036  18.129 0.042  18.022 0.004  18.857 0.031  18.284 0.038
2004fe 13  00 30 21.60  +02 08 54.7   ---   ---    17.557 0.015  16.416 0.003  15.967 0.004  18.253 0.050  17.073 0.004
2004fe 15  00 30 27.31  +02 05 02.1   ---   ---    18.244 0.012  16.952 0.029  16.425 0.016  18.949 0.048  17.683 0.008
2004ff  1  04 58 40.81  -21 33 54.1  17.064 0.039  15.503 0.004  14.924 0.003  14.722 0.004  15.965 0.003  15.235 0.008
2004ff  2  04 58 55.07  -21 35 19.8  18.099 0.066  16.050 0.003  15.355 0.006  15.117 0.003  16.592 0.016  15.727 0.008
2004ff  3  04 58 53.32  -21 36 08.1  17.556 0.015  16.513 0.010  16.106 0.004  15.963 0.028  16.865 0.008  16.308 0.003
2004ff  4  04 58 50.10  -21 36 02.2  19.494 0.085  17.870 0.013  17.230 0.009  16.957 0.011  18.410 0.020  17.599 0.026
2004ff  5  04 58 44.84  -21 36 31.7   ---   ---    17.630 0.034  16.277 0.027  15.344 0.015  18.426 0.049  17.068 0.035
2004ff  6  04 58 42.11  -21 35 52.0  19.622 0.092  17.448 0.008  16.564 0.007  16.242 0.006  18.063 0.017  17.076 0.027
