2004ex 2453300.74  17.475 0.021  17.271 0.025  17.268 0.047
2004ex 2453300.75  17.476 0.022  17.267 0.027  17.280 0.041
2004ex 2453301.71  17.406 0.027  17.288 0.032  17.167 0.040
2004ex 2453301.72  17.399 0.027  17.276 0.032  17.219 0.039
2004ex 2453306.68  17.141 0.027  16.979 0.032  16.973 0.040
2004ex 2453306.69  17.086 0.030  16.973 0.032  16.856 0.047
2004ex 2453311.67  16.992 0.026  16.869 0.031  16.735 0.041
2004ex 2453311.68  17.004 0.026  16.885 0.031  16.760 0.043
2004ex 2453327.67  17.534 0.028  17.267 0.032  16.956 0.042
2004ex 2453327.67  17.507 0.028  17.292 0.032  17.027 0.040
2004ex 2453338.61  17.776 0.028  17.612 0.033  17.317 0.043
2004ex 2453338.62  17.770 0.029  17.652 0.033  17.265 0.043
2004ex 2453342.62  17.809 0.027  17.733 0.034  17.357 0.046
2004ex 2453342.63  17.813 0.034  17.715 0.036  17.287 0.042
2004ex 2453375.55  18.609 0.031  18.664 0.042  18.026 0.056
2004ex 2453375.56  18.598 0.035  18.581 0.045  18.024 0.053
2004ff 2453311.79  17.239 0.018  17.084 0.014  17.187 0.032
2004ff 2453327.77  17.429 0.020  17.123 0.013  17.094 0.019
2004ff 2453334.85  17.623 0.022  17.352 0.026  ---    ---
2004ff 2453334.85  17.659 0.026  17.395 0.023  ---    ---
2004ff 2453335.85  ---    ---    ---    ---    17.400 0.029
2004ff 2453338.77  17.734 0.022  17.527 0.017  ---    ---
2004ff 2453338.79  ---    ---    17.514 0.016  ---    ---
2004ff 2453342.77  17.822 0.028  17.610 0.021  17.518 0.029
2004ff 2453342.77  ---    ---    17.614 0.021  ---    ---
2004ff 2453386.67  18.944 0.033  ---    ---    ---    ---
2004gq 2453358.79  ---    ---    ---    ---    14.507 0.013
2004gq 2453362.72  14.625 0.019  14.564 0.021  14.342 0.016
2004gq 2453362.72  14.639 0.019  14.572 0.021  14.342 0.015
2004gq 2453363.70  14.601 0.019  14.551 0.020  14.368 0.015
2004gq 2453363.69  14.596 0.019  ---    ---    ---    ---
2004gq 2453366.74  14.559 0.019  ---    ---    ---    ---
2004gq 2453366.75  14.573 0.021  ---    ---    ---    ---
2004gq 2453374.68  14.688 0.020  14.522 0.019  14.387 0.018
2004gq 2453374.69  14.678 0.019  ---    ---    14.387 0.017
2004gq 2453385.71  14.967 0.021  ---    ---    14.714 0.015
2004gq 2453385.70  ---    ---    ---    ---    14.674 0.014
2004gq 2453388.69  15.099 0.021  15.194 0.023  14.777 0.015
2004gq 2453388.70  15.087 0.023  15.215 0.021  14.791 0.016
2004gq 2453404.64  15.453 0.021  15.681 0.021  15.142 0.016
2004gq 2453404.63  ---    ---    15.687 0.022  15.130 0.015
2004gt 2453363.86  14.228 0.037  14.029 0.030  13.878 0.031
2004gt 2453363.87  ---    ---    14.045 0.030  13.796 0.032
2004gt 2453366.85  14.201 0.032  13.986 0.031  13.819 0.030
2004gt 2453366.86  14.145 0.040  13.982 0.029  13.809 0.035
2004gt 2453374.82  14.385 0.035  14.062 0.029  13.852 0.031
2004gt 2453374.83  14.352 0.035  14.074 0.029  13.835 0.031
2004gt 2453375.84  14.433 0.036  14.107 0.029  13.854 0.031
2004gt 2453375.84  ---    ---    14.092 0.029  13.871 0.031
2004gt 2453387.78  14.787 0.035  14.482 0.029  14.117 0.031
2004gt 2453387.78  14.799 0.036  14.488 0.029  14.119 0.031
2004gv 2453358.60  17.534 0.022  17.300 0.019  17.273 0.031
2004gv 2453358.61  17.506 0.024  17.366 0.033  17.270 0.027
2004gv 2453363.65  17.069 0.021  16.853 0.017  16.852 0.042
2004gv 2453363.66  17.042 0.022  16.920 0.030  16.758 0.032
2004gv 2453366.62  16.914 0.021  16.696 0.017  16.600 0.024
2004gv 2453366.62  16.855 0.022  16.696 0.032  16.572 0.021
2004gv 2453374.63  16.859 0.021  16.628 0.029  16.367 0.026
2004gv 2453374.63  16.860 0.022  16.612 0.029  ---    ---
2004gv 2453375.60  16.880 0.021  16.608 0.029  16.421 0.022
2004gv 2453375.61  16.866 0.022  16.609 0.029  16.424 0.023
2004gv 2453386.54  17.114 0.020  16.832 0.020  16.560 0.023
2004gv 2453386.55  17.117 0.020  16.847 0.017  16.633 0.036
2005aw 2453456.90  15.185 0.011  15.142 0.013  ---    ---
2005aw 2453456.90  15.206 0.011  15.148 0.016  ---    ---
2005aw 2453462.84  15.111 0.011  14.979 0.012  14.874 0.013
2005aw 2453462.84  15.082 0.011  15.002 0.012  14.884 0.013
2005aw 2453483.85  15.643 0.014  15.564 0.014  15.274 0.025
2005aw 2453483.85  15.609 0.012  15.529 0.013  15.230 0.026
2006T  2453773.80  15.812 0.022  15.611 0.036  15.549 0.068
2006T  2453773.81  15.788 0.022  15.631 0.034  15.468 0.072
2006T  2453784.71  15.114 0.019  15.025 0.021  14.936 0.072
2006T  2453784.72  15.178 0.021  15.015 0.032  14.878 0.048
2006T  2453786.72  15.110 0.025  15.054 0.022  14.907 0.076
2006T  2453786.72  15.207 0.021  15.018 0.036  14.874 0.048
2006T  2453787.70  15.180 0.020  15.003 0.027  14.804 0.069
2006T  2453787.71  15.109 0.024  14.999 0.030  14.818 0.064
2006T  2453832.60  16.391 0.028  16.454 0.024  15.993 0.046
2006T  2453832.61  16.395 0.030  16.506 0.025  15.974 0.046
2006T  2453843.60  16.642 0.026  16.848 0.022  16.179 0.102
2006T  2453843.61  16.663 0.021  16.770 0.057  16.286 0.048
2006T  2453846.57  16.727 0.029  16.955 0.025  16.379 0.047
2006T  2453846.58  16.712 0.030  16.957 0.025  16.344 0.047
2006ba 2453834.58  17.375 0.064  17.002 0.079  16.812 0.153
2006ba 2453834.59  17.439 0.058  16.958 0.086  16.887 0.025
2006ba 2453844.54  17.498 0.070  17.364 0.120  16.945 0.158
2006ba 2453844.55  17.517 0.072  17.293 0.108  16.890 0.155
2006ba 2453846.53  17.775 0.030  17.514 0.026  ---    ---
2006ba 2453846.54  17.777 0.031  17.515 0.025  ---    ---
2006bf 2453835.72  18.212 0.094  17.989 0.137  17.698 0.076
2006bf 2453835.72  18.317 0.095  17.957 0.037  17.680 0.076
2006bf 2453844.73  18.559 0.100  18.301 0.141  17.790 0.168
2006bf 2453844.74  18.623 0.102  18.297 0.140  17.592 0.170
2006bf 2453846.73  18.563 0.094  18.400 0.138  17.740 0.160
2006bf 2453846.74  18.575 0.095  18.333 0.139  17.828 0.170
2006ep 2454017.71  ---    ---    17.319 0.050  ---    ---
2006ep 2454017.72  ---    ---    17.320 0.027  ---    ---
2006ep 2454039.64  ---    ---    17.919 0.026  ---    ---
2006ep 2454039.65  ---    ---    17.875 0.024  ---    ---
2006ep 2454044.63  ---    ---    17.963 0.066  ---    ---
2006ep 2454044.63  ---    ---    17.975 0.058  ---    ---
2006ep 2454049.59  ---    ---    18.173 0.043  ---    ---
2006ep 2454049.60  ---    ---    18.233 0.050  ---    ---
2006ir 2454016.64  16.615 0.026  16.328 0.036  16.231 0.025
2006ir 2454016.65  16.594 0.027  ---    ---    16.233 0.025
2006ir 2454040.56  17.234 0.028  17.065 0.041  16.752 0.027
2006ir 2454040.56  17.212 0.035  17.001 0.033  16.797 0.029
2006lc 2454037.61  17.135 0.021  16.831 0.018  16.710 0.020
2006lc 2454037.61  ---    ---    16.866 0.019  16.635 0.017
2006lc 2454039.57  16.955 0.018  16.619 0.031  16.466 0.016
2006lc 2454039.58  16.994 0.023  16.608 0.032  16.483 0.017
2006lc 2454044.53  16.805 0.021  16.462 0.026  16.283 0.021
2006lc 2454044.53  16.740 0.022  16.465 0.025  16.368 0.024
2006lc 2454048.53  16.826 0.019  16.455 0.024  16.282 0.017
2006lc 2454048.54  16.804 0.019  16.478 0.026  16.309 0.018
2007C  2454157.85  16.226 0.072  16.224 0.098  15.309 0.159
2007C  2454157.86  16.148 0.064  16.245 0.110  15.577 0.149
2007C  2454170.79  16.428 0.064  16.646 0.139  15.930 0.162
2007C  2454170.80  16.444 0.067  16.584 0.142  15.903 0.147
2007C  2454224.60  17.770 0.087  17.638 0.120  16.739 0.127
2007C  2454224.60  17.595 0.095  17.771 0.109  16.959 0.148
2007ag 2454170.69  17.386 0.062  17.051 0.108  16.439 0.138
2007ag 2454170.70  17.373 0.052  16.923 0.120  16.645 0.165
2007ag 2454172.66  17.395 0.114  17.009 0.139  ---    ---
2007ag 2454172.65  17.538 0.095  ---    ---    ---    ---
2007hn 2454362.59  17.742 0.016  17.324 0.014  17.250 0.054
2007hn 2454362.60  17.649 0.021  17.309 0.015  ---    ---
2007hn 2454364.59  17.762 0.011  17.284 0.041  ---    ---
2007hn 2454364.60  17.731 0.012  17.309 0.041  ---    ---
2007hn 2454365.58  17.762 0.011  17.369 0.011  17.317 0.024
2007hn 2454365.59  17.788 0.011  17.352 0.010  17.206 0.022
2007hn 2454367.61  17.703 0.023  17.381 0.023  ---    ---
2007hn 2454367.61  17.790 0.025  ---    ---    ---    ---
2007hn 2454426.50  19.302 0.059  ---    ---    ---    ---
2007hn 2454434.54  19.630 0.042  ---    ---    ---    ---
2007kj 2454427.58  18.413 0.025  18.847 0.042  18.258 0.050
2007kj 2454427.58  18.426 0.023  ---    ---    18.372 0.059
2007rz 2454457.68  17.043 0.009  16.877 0.017  16.488 0.017
2007rz 2454457.68  17.075 0.009  16.863 0.016  16.450 0.026
2007rz 2454466.72  17.535 0.013  17.291 0.026  ---    ---
2007rz 2454466.72  17.550 0.016  ---    ---    ---    ---
2007rz 2454492.58  18.366 0.025  ---    ---    17.464 0.026
2007rz 2454492.59  18.494 0.023  ---    ---    17.410 0.044
2007Y  2454158.53  15.450 0.007  15.408 0.019  15.259 0.035
2007Y  2454159.53  15.328 0.009  15.254 0.053  15.168 0.037
2007Y  2454169.52  15.057 0.009  14.873 0.013  14.739 0.076
2007Y  2454170.51  15.091 0.009  14.846 0.013  14.736 0.076
2007Y  2454171.51  15.120 0.009  14.924 0.012  14.745 0.067
2007Y  2454172.51  15.157 0.009  14.936 0.012  14.765 0.067
2008aq 2454543.91  15.649 0.018  15.450 0.021  15.218 0.054
2008aq 2454543.91  15.659 0.018  15.452 0.021  15.243 0.054
2008aq 2454554.88  15.902 0.018  15.864 0.021  15.499 0.054
2008aq 2454554.89  15.924 0.018  15.871 0.021  15.504 0.070
2008aq 2454599.72  16.927 0.016  17.408 0.020  16.865 0.049
2008aq 2454599.72  16.918 0.016  17.434 0.021  16.834 0.049
2009K  2454874.55  15.462 0.009  15.335 0.010  15.245 0.013
2009K  2454874.55  15.441 0.009  15.346 0.010  15.238 0.014
2009Z  2454959.71  ---    ---    ---    ---    18.930 0.126
2009bb 2454935.51  15.127 0.011  14.975 0.011  14.881 0.018
2009bb 2454935.52  15.151 0.012  14.959 0.011  ---    ---
2009bb 2454937.59  15.223 0.011  15.092 0.012  15.000 0.018
2009bb 2454937.59  15.174 0.013  15.112 0.011  ---    ---
2009ca 2454937.89  18.090 0.036  17.875 0.022  17.900 0.047
2009ca 2454937.89  18.146 0.029  17.959 0.022  ---    ---
