55104.68	18.03 0.07
55105.55	18.02 0.07
55108.97	17.90 0.06
55111.31	18.04 0.07
55113.26	18.02 0.08
55115.14	17.85 0.07
55117.21	18.02 0.08
55119.15	18.00 0.06
55120.54	17.97 0.07
55122.82	17.92 0.06
55124.55	18.10 0.07
55137.14	18.04 0.07
55139.56	18.02 0.08

