55716.01	13.684	0.018
55721.9	12.669	0.01
55725.0	12.426	0.024
55730.01	11.94	0.011
55737.22	11.721	0.027
55740.63	11.701	0.05
55747.93	11.774	0.01
55749.92	11.836	0.04
55750.92	11.843	0.031
55757.95	12.064	0.015
55758.91	12.115	0.035
55761.91	12.173	0.031
55762.92	12.246	0.06
55764.95	12.226	0.01
55768.91	12.395	0.032
55772.87	12.424	0.018
55773.9	12.431	0.041
55775.9	12.53	0.02
55780.91	12.662	0.01
55786.94	12.951	0.024
55793.91	99.0	99.0
55800.86	13.171	0.015
55803.84	13.258	0.01
55813.82	13.503	0.01
55817.86	13.736	0.013
55880.22	14.7	0.015
55913.18	15.308	0.018
55914.16	15.345	0.018
55945.63	16.209	0.023
55999.41	17.309	0.022
56023.88	17.71	0.04
56051.97	18.599	0.026
56092.98	19.022	0.09
#E15
55813.82	13.50	0.01
55817.86	13.74	0.01
55880.22	14.70	0.01
55913.18	15.31	0.02
55914.16	15.35	0.02
55945.63	16.21	0.02
55999.41	17.31	0.02
56023.88	17.71	0.04
56051.97	18.60	0.03
56092.98	19.02	0.09
#A11
55718.188	13.709	0.209
55719.197	13.237	0.184
55720.192	13.078	0.184
55721.193	13.101	0.130
55722.177	12.802	0.168
55723.18	12.409	0.190
55724.174	12.396	0.247
55725.143	12.509	0.170
