   2.79   20.9035 
   2.96   20.9710 
   3.88   21.3508 
   4.80   21.7127 
   5.89   22.0540 
   6.10   22.0854 
   6.80   22.2595 
   6.99   22.3030 
   7.85   22.3712 
   7.98   22.3838 
   8.81   22.3702 
   8.87   22.3731 
   9.00   22.3644 
   9.10   22.3011 
   9.89   22.3240 
  10.10   22.2328 
  10.92   22.2077 
  11.00   22.2035 
  11.10   22.1277 
  11.88   22.0810 
  12.97   21.9850 
  13.06   21.9762 
  13.79   21.8679 
  13.83   21.8624 
  13.91   21.8819 
  13.96   21.8912 
  14.10   21.8088 
  15.10   21.7164 
  16.10   21.6229 
  17.07   21.6114 
  17.10   21.5924 
  18.05   21.5622 
  19.09   21.5369 
  19.10   21.4794 
  20.10   21.4542 
  21.05   21.5302 
  21.10   21.4743 
  21.14   21.5271 
  22.05   21.5636 
  22.10   21.4866 
  23.05   21.6162 
  23.10   21.5709 
  24.18   21.7085 
  25.05   21.8043 
  25.10   21.7069 
  26.10   21.8624 
  27.05   22.0504 
  28.07   22.1782 
  28.81   22.2143 
  29.15   22.2805 
  30.81   22.3975 
  31.10   22.4626 
  31.77   22.4957 
  32.10   22.4796 
  32.20   22.4700 
  32.80   22.5371 
  33.78   22.6042 
  34.10   22.6143 
  35.10   22.6707 
  36.10   22.6988 
  38.79   22.8757 
  42.10   22.9724 
  47.80   23.1367 
  48.80   23.1700 
  55.78   23.3023 
  57.81   23.3493 
  58.78   23.3610 
  67.20   23.4460 
  73.10   23.6318 
  73.20   23.5928 
  76.10   23.6716 
  77.10   23.6829 
  78.20   23.7110 
  80.20   23.7415 
  82.20   23.7361 
  83.20   23.7639 
  88.10   23.8732 
  89.10   23.9305 
  90.10   23.9443 
  91.10   23.9021 
  91.10   23.9580 
  93.10   24.0004 
  94.10   23.9974 
  95.10   24.0209 
  96.10   24.0134 
  97.10   23.9956 
  98.10   24.0508 
  99.10   24.0540 
 100.10   24.0947 
 105.10   24.1405 
 108.10   24.2850 
 109.10   24.2699 
 110.10   24.3140 
 111.10   24.3094 
 112.10   24.3297 
